city_corporation,total_population,male_population,female_population,hijra_population,density
Barishal,419351,213627,205685,39,7230
Chattogram,3227246,1673627,1553252,367,20767
Cumilla,439414,220248,219119,47,8285
Dhaka North,5979537,3260537,2718096,904,30474
Dhaka South,4299345,2334858,1963834,653,39353
Gazipur,2674697,1415669,1258633,395,8117
Khulna,718735,364251,354375,109,15744
Mymensingh,576722,293368,283267,87,6315
Narayanganj,967724,499854,467771,99,13361
Rajshahi,552791,284382,268358,51,5688
Rangpur,708384,360738,347599,47,3444
Sylhet,532426,275838,256474,114,20092
