division,district,total_population,male_population,female_population,hijra_population,sex_ratio,rural_male,rural_female,rural_hijra,rural_total,urban_male,urban_female,urban_hijra,urban_total,ethnic_minority_total,ethnic_minority_male,ethnic_minority_female,ethnic_minority_pct,pct_muslim,pct_hindu,pct_buddhist,pct_christian,pct_other_religion,literacy_rate_total,literacy_rate_male,literacy_rate_female,literacy_rate_hijra,total_households,slum_households,slum_population,floating_households,floating_population,regular_households,regular_population,household_size,population_2011,households_2011,hh_size_2011,density_2011,population_2022,households_2022,hh_size_2022,density_2022,dwelling_units_rural,dwelling_units_urban,dwelling_units_total
Khulna,Bagerhat,1613079,801716,810581,90,98.91,610926,616307,59,1227292,190790,194274,31,385095,1046,568,478,0.06,83.22,16.38,0.0,0.37,0.03,81.32,82.38,80.29,58.62,408862,2687,10062,180,190,405995,1602827,3.95,1476090,354223,4.17,373,1613079,408862,3.95,407,308340,89537,397877
Chattogram,Bandarban,481109,246590,234035,17,105.36,144443,141920,13,286376,102147,92115,4,194266,197975,99192,98783,12.0,52.68,3.42,29.52,9.78,4.61,63.64,68.86,58.14,31.25,106167,1,2,93,93,106073,481014,4.53,388335,80102,4.85,87,481109,106167,4.53,107,65878,36789,102667
Barishal,Barguna,1010530,494625,515608,96,95.93,381255,398244,35,779534,113370,117364,61,230795,1131,550,581,0.07,92.75,6.87,0.31,0.02,0.04,80.49,82.1,78.96,73.63,255390,454,1802,43,46,254893,1008682,3.96,892781,215842,4.14,488,1010530,255390,3.96,552,186565,50829,237394
Barishal,Barishal,2570450,1254840,1314423,151,95.47,864346,928508,56,1792910,390494,385915,95,776504,843,479,364,0.05,88.8,10.7,0.01,0.43,0.05,79.62,80.57,78.73,63.89,629842,8636,33163,735,1820,620471,2535467,4.08,2324310,513673,4.52,835,2570450,629842,4.08,923,419233,135869,555102
Barishal,Bhola,1932514,945076,985131,129,95.93,680149,716414,61,1396624,264927,268717,68,533712,773,379,394,0.05,97.07,2.87,0.0,0.01,0.05,67.12,67.03,67.2,59.84,448933,165,726,35,37,448733,1931751,4.3,1776795,372723,4.77,522,1932514,448933,4.3,568,315624,112164,427788
Rajshahi,Bogura,3734300,1852193,1880480,433,98.5,1366121,1405482,289,2771892,486072,474998,144,961214,5993,2979,3014,0.36,94.13,5.8,0.0,0.02,0.05,72.44,75.39,69.56,58.41,1025249,1966,7587,274,300,1023009,3726413,3.64,3400874,867137,3.92,1173,3734300,1025249,3.64,1288,732904,195948,928852
Chattogram,Brahmanbaria,3306559,1537743,1767766,202,86.99,1211818,1412028,129,2623975,325925,355738,73,681736,672,339,333,0.04,93.24,6.68,0.01,0.02,0.05,72.01,71.63,72.33,45.92,712613,1765,8369,638,665,710210,3297525,4.64,2840498,538937,5.27,1510,3306559,712613,4.64,1758,611998,117923,729921
Chattogram,Chandpur,2635748,1228774,1405682,132,87.41,896978,1046963,81,1944022,331796,358719,51,690566,2863,1422,1441,0.17,94.37,5.55,0.01,0.02,0.05,78.05,78.26,77.86,55.12,635458,3440,13831,141,163,631877,2621754,4.15,2416018,506521,4.77,1468,2635748,635458,4.15,1602,487577,141150,628727
Rajshahi,Chapainawabganj,1835527,887057,948165,88,93.56,662772,705218,67,1368057,224285,242947,21,467253,23275,11466,11809,1.41,95.53,3.92,0.0,0.39,0.15,71.92,70.75,72.99,58.82,448029,3058,12039,47,60,444924,1823428,4.1,1647521,357982,4.6,968,1835527,448029,4.1,1078,268320,88027,356347
Chattogram,Chattogram,9169464,4566039,4597076,645,99.32,2087177,2195390,188,4282755,2478862,2401686,457,4881005,48144,25098,23046,2.92,87.47,10.7,1.63,0.09,0.11,80.85,82.66,79.07,52.25,2143958,81958,304235,2004,2161,2059996,8863068,4.28,7616352,1532014,4.97,1442,9169464,2143958,4.28,1736,790842,518514,1309356
