standard_name,census,humdata_pop,poverty,unicef,election,geojson,census_excel
Bagerhat,Bagerhat,Bagerhat,Bagerhat,Bagerhat,Bagerhat,Bagerhat,Bagerhat
Bandarban,Bandarban,Bandarban,Bandarban,Bandarban,Bandarban,Parbatya Bandarban,Bandarban
Barguna,Barguna,Barguna,Barguna,Barguna,Barguna,Barguna,Barguna
Barishal,Barishal,Barisal,Barishal,Barishal,Barishal,Barisal,Barishal
Bhola,Bhola,Bhola,Bhola,Bhola,Bhola,Bhola,Bhola
Bogura,Bogura,Bogra,Bogura,Bogura,Bogura,Bogra,Bogura
Brahmanbaria,Brahmanbaria,Brahamanbaria,Brahmanbaria,Brahmanbaria,Brahmanbaria,Brahmanbaria,Brahmanbaria
Chandpur,Chandpur,Chandpur,Chandpur,Chandpur,Chandpur,Chandpur,Chandpur
Chapainawabganj,Chapainawabganj,Nawabganj,Chapainawabganj,Chapai Nawabganj,Chapainawabganj,Chapai Nababganj,Chapainababganj
Chattogram,Chattogram,Chittagong,Chattogram,Chattogram,Chattogram,Chittagong,Chattogram
Chuadanga,Chuadanga,Chuadanga,Chuadanga,Chuadanga,Chuadanga,Chuadanga,Chuadanga
Cox's Bazar,Cox's Bazar,Cox's Bazar,Cox's Bazar,Cox's Bazar,Cox's Bazar,Cox's Bazar,Cox's Bazar
Cumilla,Cumilla,Comilla,Cumilla,Cumilla,Cumilla,Comilla,Cumilla
Dhaka,Dhaka,Dhaka,Dhaka,Dhaka,Dhaka,Dhaka,Dhaka
Dinajpur,Dinajpur,Dinajpur,Dinajpur,Dinajpur,Dinajpur,Dinajpur,Dinajpur
Faridpur,Faridpur,Faridpur,Faridpur,Faridpur,Faridpur,Faridpur,Faridpur
Feni,Feni,Feni,Feni,Feni,Feni,Feni,Feni
Gaibandha,Gaibandha,Gaibandha,Gaibandha,Gaibandha,Gaibandha,Gaibandha,Gaibandha
Gazipur,Gazipur,Gazipur,Gazipur,Gazipur,Gazipur,Gazipur,Gazipur
Gopalganj,Gopalganj,Gopalganj,Gopalganj,Gopalganj,Gopalganj,Gopalganj,Gopalganj
Habiganj,Habiganj,Habiganj,Habiganj,Habiganj,Habiganj,Habiganj,Habiganj
Jamalpur,Jamalpur,Jamalpur,Jamalpur,Jamalpur,Jamalpur,Jamalpur,Jamalpur
Jashore,Jashore,Jessore,Jashore,Jashore,Jashore,Jessore,Jashore
Jhalokati,Jhalokati,Jhalokati,Jhalokati,Jhalokati,Jhalokathi,Jhalokathi,Jhalokati
Jhenaidah,Jhenaidah,Jhenaidah,Jhenaidah,Jhenaidah,Jhenaidah,Jhenaidah,Jhenaidah
Joypurhat,Joypurhat,Joypurhat,Joypurhat,Joypurhat,Joypurhat,Joypurhat,Joypurhat
Khagrachhari,Khagrachhari,Khagrachhari,Khagrachhari,Khagrachhari,Khagrachhari,Parbatya Khagrachari,Khagrachhari
Khulna,Khulna,Khulna,Khulna,Khulna,Khulna,Khulna,Khulna
Kishoreganj,Kishoregonj,Kishoreganj,Kishoreganj,Kishoregonj,Kishoreganj,Kishoreganj,Kishoreganj
Kurigram,Kurigram,Kurigram,Kurigram,Kurigram,Kurigram,Kurigram,Kurigram
Kushtia,Kushtia,Kushtia,Kushtia,Kushtia,Kushtia,Kushtia,Kushtia
Lakshmipur,Lakshmipur,Lakshmipur,Lakshmipur,Lakshmipur,Lakshmipur,Lakshmipur,Lakshmipur
Lalmonirhat,Lalmonirhat,Lalmonirhat,Lalmonirhat,Lalmonirhat,Lalmonirhat,Lalmonirhat,Lalmonirhat
Madaripur,Madaripur,Madaripur,Madaripur,Madaripur,Madaripur,Madaripur,Madaripur
Magura,Magura,Magura,Magura,Magura,Magura,Magura,Magura
Manikganj,Manikganj,Manikganj,Manikganj,Manikganj,Manikganj,Manikganj,Manikganj
Meherpur,Meherpur,Meherpur,Meherpur,Meherpur,Meherpur,Meherpur,Meherpur
Moulvibazar,Moulvibazar,Maulvibazar,Moulvibazar,Maulvibazar,Moulvibazar,Maulvibazar,Moulvibazar
Munshiganj,Munshiganj,Munshiganj,Munshiganj,Munshiganj,Munshiganj,Munshiganj,Munshiganj
Mymensingh,Mymensingh,Mymensingh,Mymensingh,Mymensingh,Mymensingh,Mymensingh,Mymensingh
Naogaon,Naogaon,Naogaon,Naogaon,Naogaon,Naogaon,Naogaon,Naogaon
Narail,Narail,Narail,Narail,Narail,Narail,Narail,Narail
Narayanganj,Narayanganj,Narayanganj,Narayanganj,Narayangonj,Narayanganj,Narayanganj,Narayanganj
