upazila,district,constituency,constituency_number,source,type
Abhaynagar,Jashore,Jessore-4,88,election; geocode; humdata_pop; poverty,upazila
Abhaynagar,Jashore,Jessore-5,89,election; geocode; humdata_pop; poverty,upazila
Adabor,Dhaka,,,humdata_pop; poverty,thana
Adamdighi,Bogura,Bogra-3,38,election; geocode; humdata_pop; poverty,upazila
Aditmari,Lalmonirhat,Lalmonirhat-2,17,election; geocode; humdata_pop; poverty,upazila
Agailjhara,Barishal,Barishal-1,119,election; geocode; humdata_pop; poverty,upazila
Ajmiriganj,Habiganj,Habiganj-2,240,election; geocode; humdata_pop; poverty,upazila
Akbarshah,Chattogram,,,poverty,thana
Akhaura,Brahmanbaria,Brahmanbaria-4,246,election; geocode; humdata_pop; poverty,upazila
Akkelpur,Joypurhat,Joypurhat-2,35,election; geocode; humdata_pop; poverty,upazila
Alamdanga,Chuadanga,Chuadanga-1,79,election; geocode; humdata_pop; poverty,upazila
Alamdanga,Chuadanga,Chuadanga-2,80,election; geocode; humdata_pop; poverty,upazila
Alfadanga,Faridpur,Faridpur-1,211,election; geocode; humdata_pop; poverty,upazila
Alikadam,Bandarban,Bandarban-1,300,election; geocode; humdata_pop; poverty,upazila
Amtali,Barguna,Barguna-1,109,election; geocode; humdata_pop; poverty,upazila
Anowara,Chattogram,Chattogram-13,290,election; geocode; humdata_pop; poverty,upazila
Araihazar,Narayanganj,Narayanganj-2,205,election; geocode; humdata_pop; poverty,upazila
Ashuganj,Brahmanbaria,Brahmanbaria-2,244,election; geocode; humdata_pop; poverty,upazila
Assasuni,Satkhira,Satkhira-3,107,election; geocode; humdata_pop; poverty,upazila
Atgharia,Pabna,,,humdata_pop; poverty,upazila
Atghoria,Pabna,Pabna-4,71,election; geocode,upazila
Atpara,Netrakona,Netrokona-3,159,election; geocode; humdata_pop; poverty,upazila
Atrai,Naogaon,Naogaon-6,51,election; geocode; humdata_pop; poverty,upazila
Atwari,Panchagarh,Panchagarh-1,001,election; geocode; humdata_pop; poverty,upazila
Austagram,Kishoreganj,Kishoreganj-4,165,election; geocode; humdata_pop; poverty,upazila
Babuganj,Barishal,Barishal-3,121,election; geocode; humdata_pop; poverty,upazila
Badalgachhi,Naogaon,Naogaon-3,48,election; geocode; humdata_pop; poverty,upazila
Badarganj,Rangpur,Rangpur-2,20,election; geocode; humdata_pop; poverty,upazila
Badda,Dhaka,,,humdata_pop; poverty,thana
Bagatipara,Natore,Natore-1,58,election; geocode; humdata_pop; poverty,upazila
Bagerhat Sadar,Bagerhat,Bagerhat-2,96,election; geocode; humdata_pop; poverty,upazila
Bagha,Rajshahi,Rajshahi-6,57,election; geocode; humdata_pop; poverty,upazila
Baghaichhari,Rangamati,Rangamati-1,299,election; geocode; humdata_pop; poverty,upazila
Bagharpara,Jashore,,,poverty,upazila
Bagherpara,Jashore,Jessore-4,88,election; geocode; humdata_pop,upazila
Baghmara,Rajshahi,Rajshahi-4,55,election; geocode; humdata_pop; poverty,upazila
Bahubal,Habiganj,Habiganj-1,239,election; geocode; humdata_pop; poverty,upazila
Bajitpur,Kishoreganj,Kishoreganj-5,166,election; geocode; humdata_pop; poverty,upazila
Bakalia,Chattogram,,,humdata_pop; poverty,thana
Bakerganj,Barishal,Barishal-6,124,election; geocode; humdata_pop; poverty,upazila
Bakshiganj,Jamalpur,Jamalpur-4,141,election; geocode; humdata_pop; poverty,upazila
Balaganj,Sylhet,Sylhet-2,230,election; geocode; humdata_pop; poverty,upazila
Balaganj,Sylhet,Sylhet-3,231,election; geocode; humdata_pop; poverty,upazila
Baliadangi,Thakurgaon,Thakurgaon-2,4,election; geocode; humdata_pop; poverty,upazila
Baliakandi,Rajbari,Rajbari-2,210,election; geocode; humdata_pop; poverty,upazila
Bamna,Barguna,Barguna-2,110,election; geocode; humdata_pop; poverty,upazila
Banani,Dhaka,,,poverty,thana
Banaripara,Barishal,Barishal-2,120,election; geocode; humdata_pop; poverty,upazila
Bancharampur,Brahmanbaria,Brahmanbaria-6,248,election; geocode,upazila
Banchharampur,Brahmanbaria,,,humdata_pop; poverty,upazila
Bandar,Narayanganj,Narayanganj-5,208,election; geocode; humdata_pop; poverty,upazila
Bandarban Sadar,Bandarban,Bandarban-1,300,election; geocode; humdata_pop; poverty,upazila
Bangshal,Dhaka,,,humdata_pop; poverty,thana
Baniachong,Habiganj,Habiganj-2,240,election; geocode; humdata_pop; poverty,upazila
Banshkhali,Chattogram,Chattogram-16,293,election; geocode; humdata_pop; poverty,upazila
Baraigram,Natore,Natore-4,61,election; geocode; humdata_pop; poverty,upazila
Barguna Sadar,Barguna,Barguna-1,109,election; geocode; humdata_pop; poverty,upazila
Barhatta,Netrakona,Netrokona-2,158,election; geocode; humdata_pop; poverty,upazila
Barishal Sadar,Barishal,Barishal-5,123,election; geocode; humdata_pop; poverty,upazila
Barkal,Rangamati,Rangamati-1,299,election; geocode; humdata_pop; poverty,upazila
Barlekha,Moulvibazar,Moulvibazar-1,235,election; geocode; humdata_pop; poverty,upazila
Barura,Cumilla,Comilla-8,256,election; geocode; humdata_pop; poverty,upazila
Basail,Tangail,Tangail-8,137,election; geocode; humdata_pop; poverty,upazila
Basan,Gazipur,,,poverty,thana
Batiaghata,Khulna,Khulna-1,99,election; geocode; humdata_pop; poverty,upazila
Bauphal,Patuakhali,Patuakhali-2,112,election; geocode; humdata_pop; poverty,upazila
