standard_name,district,humdata_pop,poverty,election,geocode
Abhaynagar,Jashore,Abhaynagar,Abhaynagar,Avoynagar,Abhaynagar
Adabor,Dhaka,Adabor,Adabar,,
Adamdighi,Bogura,Adamdighi,Adamdighi,Adamdighi,Adamdighi
Aditmari,Lalmonirhat,Aditmari,Aditmari,Aditmari,Aditmari
Agailjhara,Barishal,Agailjhara,Agailjhara,Agailjhara,Agailjhara
Ajmiriganj,Habiganj,Ajmiriganj,Ajmiriganj,Ajmiriganj,Ajmiriganj
Akbarshah,Chattogram,,Akbarshah,,
Akhaura,Brahmanbaria,Akhaura,Akhaura,Akhaura,Akhaura
Akkelpur,Joypurhat,Akkelpur,Akkelpur,Akkelpur,Akkelpur
Alamdanga,Chuadanga,Alamdanga,Alamdanga,Alamdanga,Alamdanga
Alfadanga,Faridpur,Alfadanga,Alfadanga,Alfadanga,Alfadanga
Alikadam,Bandarban,Alikadam,Alikadam,Alikadam,Alikadam
Amtali,Barguna,Amtali,Amtali,Amtali,Amtali
Anowara,Chattogram,Anowara,Anwara,Anwara,Anwara
Araihazar,Narayanganj,Araihazar,Araihazar,Araihazar,Araihazar
Ashuganj,Brahmanbaria,Ashuganj,Ashuganj,Ashuganj,Ashuganj
Assasuni,Satkhira,Assasuni,Ashashuni,Ashashuni,Assasuni
Atgharia,Pabna,Atgharia,Atgharia,,
Atghoria,Pabna,,,Atghoria,Atghoria
Atpara,Netrakona,Atpara,Atpara,Atpara,Atpara
Atrai,Naogaon,Atrai,Atrai,Atrai,Atrai
Atwari,Panchagarh,Atwari,Atowari,Atwari,Atwari
Austagram,Kishoreganj,Austagram,Austagram,Ashtagram,Austagram
Babuganj,Barishal,Babuganj,Babuganj,Babuganj,Babuganj
Badalgachhi,Naogaon,Badalgachhi,Badalgachhi,Badalgachhi,Badalgachi
Badarganj,Rangpur,Badarganj,Badarganj,Badarganj,Badargonj
Badda,Dhaka,Badda,Badda,,
Bagatipara,Natore,Bagati Para,Bagatipara,Bagatipara,Bagatipara
Bagerhat Sadar,Bagerhat,Bagerhat Sadar,Bagerhat Sadar,Bagerhat Sadar,Bagerhat Sadar
Bagha,Rajshahi,Bagha,Bagha,Bagha,Bagha
Baghaichhari,Rangamati,Baghai Chhari,Baghaichhari,Baghaichhari,Baghaichari
Bagharpara,Jashore,,Bagharpara,,
Bagherpara,Jashore,Bagher Para,,Bagerpara,Bagherpara
Baghmara,Rajshahi,Baghmara,Bagmara,Bagmara,Bagmara
Bahubal,Habiganj,Bahubal,Bahubal,Bahubal,Bahubal
Bajitpur,Kishoreganj,Bajitpur,Bajitpur,Bajitpur,Bajitpur
Bakalia,Chattogram,Bakalia,Bakalia,,
Bakerganj,Barishal,Bakerganj,Bakerganj,Bakerganj,Bakerganj
Bakshiganj,Jamalpur,Bakshiganj,Bakshiganj,Bakshiganj,Bokshiganj
Balaganj,Sylhet,Balaganj,Balaganj,Balaganj,Balaganj
Baliadangi,Thakurgaon,Baliadangi,Baliadangi,Baliadangi,Baliadangi
Baliakandi,Rajbari,Balia Kandi,Baliakandi,Baliakandi,Baliakandi
Bamna,Barguna,Bamna,Bamna,Bamna,Bamna
Banani,Dhaka,,Banani,,
Banaripara,Barishal,Banari Para,Banaripara,Banaripara,Banaripara
Bancharampur,Brahmanbaria,,,Bancharampur,Bancharampur
Banchharampur,Brahmanbaria,Banchharampur,Banchharampur,,
Bandar,Narayanganj,Bandar,Bandar,Bandar,Bandar
Bandarban Sadar,Bandarban,Bandarban Sadar,Bandarban Sadar,Bandarban Sadar,Bandarban Sadar
Bangshal,Dhaka,Bangshal,Bangshal,,
Baniachong,Habiganj,Baniachong,Baniachong,Baniachong,Baniachong
Banshkhali,Chattogram,Banshkhali,Banshkhali,Banshkhali,Banshkhali
Baraigram,Natore,Baraigram,Baraigram,Baraigram,Baraigram
Barguna Sadar,Barguna,Barguna Sadar,Barguna Sadar,Barguna Sadar,Barguna Sadar
Barhatta,Netrakona,Barhatta,Barhatta,Barhatta,Barhatta
Barishal Sadar,Barishal,Barisal Sadar (Kotwali),Barishal Sadar,Barisal Sadar,Barisal Sadar
Barkal,Rangamati,Barkal,Barkal,Barkal,Barkal
Barlekha,Moulvibazar,Barlekha,Baralekha,Barlekha,Barlekha
Barura,Cumilla,Barura,Barura,Barura,Barura
Basail,Tangail,Basail,Basail,Basail,Basail
Basan,Gazipur,,Basan,,
Batiaghata,Khulna,Batiaghata,Batiaghata,Batiaghata,Botiaghata
Bauphal,Patuakhali,Bauphal,Bauphal,Bauphal,Bauphal
Bayejid Bostami,Chattogram,Bayejid Bostami,Bayejid Bostami,,
Beanibazar,Sylhet,Beani Bazar,Beanibazar,Beanibazar,Beanibazar
Begumganj,Noakhali,Begumganj,Begumganj,Begumganj,Begumganj
