constituency_id,constituency_name,zilla_name,candidate_name,candidate_symbol,votes,total_centers,total_voters,valid_votes,rejected_votes,absent_voters
1,পঞ্চগড়-১,পঞ্চগড়,মুহাম্মদ নওশাদ জমির,ধানের শীষ,174430,155,458802,346256,8798,103748
1,পঞ্চগড়-১,পঞ্চগড়,মোঃ সারজিস আলম,শাপলা কলি,166126,155,458802,346256,8798,103748
1,পঞ্চগড়-১,পঞ্চগড়,নাজমুল হক প্রধান,মোটরগাড়ি (কার),2920,155,458802,346256,8798,103748
1,পঞ্চগড়-১,পঞ্চগড়,মোঃ আব্দুল ওয়াদুদ (বাদশা),একতারা,1017,155,458802,346256,8798,103748
1,পঞ্চগড়-১,পঞ্চগড়,মোঃ মাহাফুজার রহমান,ট্রাক,826,155,458802,346256,8798,103748
1,পঞ্চগড়-১,পঞ্চগড়,মোঃ ফেরদাউস আলম,আনারস,678,155,458802,346256,8798,103748
1,পঞ্চগড়-১,পঞ্চগড়,মোঃ সিরাজুল ইসলাম,টেলিভিশন,259,155,458802,346256,8798,103748
2,পঞ্চগড়-২,পঞ্চগড়,ফরহাদ হোসেন আজাদ,ধানের শীষ,173686,132,414349,312811,7041,94497
2,পঞ্চগড়-২,পঞ্চগড়,মোঃ সফিউল আলম,দাঁড়িপাল্লা,127608,132,414349,312811,7041,94497
2,পঞ্চগড়-২,পঞ্চগড়,মোঃ কামরুল হাসান প্রধান,হাতপাখা,4358,132,414349,312811,7041,94497
2,পঞ্চগড়-২,পঞ্চগড়,মোঃ লুৎফর রহমান রিপন,লাঙ্গল,2126,132,414349,312811,7041,94497
2,পঞ্চগড়-২,পঞ্চগড়,মাহমুদ হোসেন সুমন,ঘোড়া,1821,132,414349,312811,7041,94497
2,পঞ্চগড়-২,পঞ্চগড়,মোঃ দেলোয়ার হোসেন,একতারা,1351,132,414349,312811,7041,94497
2,পঞ্চগড়-২,পঞ্চগড়,মোঃ এমরান আল আমিন,মোটরগাড়ি (কার),941,132,414349,312811,7041,94497
2,পঞ্চগড়-২,পঞ্চগড়,মোঃ আশরাফুল আলম,কাস্তে,920,132,414349,312811,7041,94497
3,ঠাকুরগাঁও-১,ঠাকুরগাঁও,মির্জা ফখরুল ইসলাম আলমগীর,ধানের শীষ,237178,185,507200,380670,7399,119131
3,ঠাকুরগাঁও-১,ঠাকুরগাঁও,দেলাওয়ার হোসেন,দাঁড়িপাল্লা,139571,185,507200,380670,7399,119131
3,ঠাকুরগাঁও-১,ঠাকুরগাঁও,মোঃ খাদেমুল ইসলাম,হাতপাখা,3921,185,507200,380670,7399,119131
4,ঠাকুরগাঁও-২,ঠাকুরগাঁও,মোঃ আব্দুস সালাম,ধানের শীষ,120306,104,337273,240715,5601,90957
4,ঠাকুরগাঁও-২,ঠাকুরগাঁও,মোঃ আব্দুল হাকিম,দাঁড়িপাল্লা,114470,104,337273,240715,5601,90957
4,ঠাকুরগাঁও-২,ঠাকুরগাঁও,নূরুন নাহার বেগম,লাঙ্গল,2854,104,337273,240715,5601,90957
4,ঠাকুরগাঁও-২,ঠাকুরগাঁও,মোঃ ফারুক হোসেন,ট্রাক,1837,104,337273,240715,5601,90957
4,ঠাকুরগাঁও-২,ঠাকুরগাঁও,মোঃ নাহিদ-রানা,ঈগল,446,104,337273,240715,5601,90957
4,ঠাকুরগাঁও-২,ঠাকুরগাঁও,মোঃ রেজাউল করিম,হাতপাখা,431,104,337273,240715,5601,90957
4,ঠাকুরগাঁও-২,ঠাকুরগাঁও,সাহাবউদ্দিন আহাম্মেদ,কাস্তে,371,104,337273,240715,5601,90957
5,ঠাকুরগাঁও-৩,ঠাকুরগাঁও,মোঃ জাহিদুর রহমান,ধানের শীষ,131887,128,361044,254517,5762,100765
5,ঠাকুরগাঁও-৩,ঠাকুরগাঁও,মোঃ মিজানুর রহমান,দাঁড়িপাল্লা,90767,128,361044,254517,5762,100765
5,ঠাকুরগাঁও-৩,ঠাকুরগাঁও,হাফিজ উদ্দিন আহম্মেদ,লাঙ্গল,26934,128,361044,254517,5762,100765
5,ঠাকুরগাঁও-৩,ঠাকুরগাঁও,প্রভাত সমীর শাহজাহান আলম,কাস্তে,1537,128,361044,254517,5762,100765
5,ঠাকুরগাঁও-৩,ঠাকুরগাঁও,মোঃ  আল আমিন,হাতপাখা,1283,128,361044,254517,5762,100765
5,ঠাকুরগাঁও-৩,ঠাকুরগাঁও,কমলা কান্ত রায়,রকেট,666,128,361044,254517,5762,100765
5,ঠাকুরগাঁও-৩,ঠাকুরগাঁও,মোঃ মামুনুর রশিদ মামুন,ট্রাক,551,128,361044,254517,5762,100765
5,ঠাকুরগাঁও-৩,ঠাকুরগাঁও,মোঃ আবুল কালাম আজাদ,একতারা,503,128,361044,254517,5762,100765
5,ঠাকুরগাঁও-৩,ঠাকুরগাঁও,মোছাঃ আশা মনি,ফুটবল,276,128,361044,254517,5762,100765
5,ঠাকুরগাঁও-৩,ঠাকুরগাঁও,এস এম খলিলুর রহমান সরকার,হারিকেন,113,128,361044,254517,5762,100765
6,দিনাজপুর-১,দিনাজপুর,মোঃ মনজুরুল ইসলাম,ধানের শীষ,178489,128,414353,302221,6272,105860
6,দিনাজপুর-১,দিনাজপুর,মোঃ মতিউর রহমান,দাঁড়িপাল্লা,116488,128,414353,302221,6272,105860
6,দিনাজপুর-১,দিনাজপুর,মোঃ চাঁন মিয়া,হাতপাখা,3074,128,414353,302221,6272,105860
6,দিনাজপুর-১,দিনাজপুর,রঘুনাথ চন্দ্র রায়,গোলাপ ফুল,2262,128,414353,302221,6272,105860
6,দিনাজপুর-১,দিনাজপুর,মোঃ শাহিনুর ইসলাম,লাঙ্গল,1515,128,414353,302221,6272,105860
6,দিনাজপুর-১,দিনাজপুর,মোঃ রিজুওয়ানুল ইসলাম,ট্রাক,393,128,414353,302221,6272,105860
7,দিনাজপুর-২,দিনাজপুর,মোঃ সাদিক রিয়াজ,ধানের শীষ,138878,116,368137,269107,6365,92665
7,দিনাজপুর-২,দিনাজপুর,"এ, কে, এম আফজালুল আনাম",দাঁড়িপাল্লা,103693,116,368137,269107,6365,92665
7,দিনাজপুর-২,দিনাজপুর,মোঃ আ ন ম বজলুর রশীদ,মোটর সাইকেল,15538,116,368137,269107,6365,92665
7,দিনাজপুর-২,দিনাজপুর,মোঃ জুলফিকার হোসেন,লাঙ্গল,4613,116,368137,269107,6365,92665
7,দিনাজপুর-২,দিনাজপুর,আনোয়ার চৌধুরী জীবন,জাহাজ,3839,116,368137,269107,6365,92665
7,দিনাজপুর-২,দিনাজপুর,মুহাঃ রেদওয়ানুল কারীম রাবিদ,হাতপাখা,1049,116,368137,269107,6365,92665
7,দিনাজপুর-২,দিনাজপুর,জোবায়ের সাঈদ,রিক্সা,1044,116,368137,269107,6365,92665
7,দিনাজপুর-২,দিনাজপুর,মোঃ মোকারম হোসেন,হারিকেন,453,116,368137,269107,6365,92665
8,দিনাজপুর-৩,দিনাজপুর,সৈয়দ জাহাঙ্গীর আলম,ধানের শীষ,139207,130,411474,280512,5449,125513
8,দিনাজপুর-৩,দিনাজপুর,মোঃ মাইনুল আলম,দাঁড়িপাল্লা,134618,130,411474,280512,5449,125513
8,দিনাজপুর-৩,দিনাজপুর,আহমেদ শফি রুবেল,লাঙ্গল,3797,130,411474,280512,5449,125513
8,দিনাজপুর-৩,দিনাজপুর,মোঃ খাইরুজ্জামান,হাতপাখা,1392,130,411474,280512,5449,125513
8,দিনাজপুর-৩,দিনাজপুর,অমৃত কুমার রায়,কাস্তে,685,130,411474,280512,5449,125513
8,দিনাজপুর-৩,দিনাজপুর,মোঃ রবিউল ইসলাম,কলম,329,130,411474,280512,5449,125513
8,দিনাজপুর-৩,দিনাজপুর,কিবরিয়া হোসেন,মই,279,130,411474,280512,5449,125513
8,দিনাজপুর-৩,দিনাজপুর,লায়লা তুল রীমা,হারিকেন,205,130,411474,280512,5449,125513
9,দিনাজপুর-৪,দিনাজপুর,মোঃ আখতারুজ্জামান মিয়া,ধানের শীষ,165577,130,417762,298034,6264,113464
9,দিনাজপুর-৪,দিনাজপুর,মোঃ আফতাব উদ্দীন মোল্লা,দাঁড়িপাল্লা,127666,130,417762,298034,6264,113464
9,দিনাজপুর-৪,দিনাজপুর,মোঃ নুরুল আমিন শাহ,লাঙ্গল,3105,130,417762,298034,6264,113464
9,দিনাজপুর-৪,দিনাজপুর,মোঃ আনোয়ার হোসাইন,হাতপাখা,1686,130,417762,298034,6264,113464
10,দিনাজপুর-৫,দিনাজপুর,"এ, জেড, এম, রেজওয়ানুল হক",তালা,113650,141,473429,330053,8581,134795
10,দিনাজপুর-৫,দিনাজপুর,মোঃ আব্দুল আহাদ,শাপলা কলি,108948,141,473429,330053,8581,134795
10,দিনাজপুর-৫,দিনাজপুর,এ কে এম কামরুজ্জামান,ধানের শীষ,97727,141,473429,330053,8581,134795
10,দিনাজপুর-৫,দিনাজপুর,"এস, এম জাকারিযা বাচ্চু",কলস,4707,141,473429,330053,8581,134795
10,দিনাজপুর-৫,দিনাজপুর,মোঃ হযরত আলী বেলাল,হরিণ ,2987,141,473429,330053,8581,134795
10,দিনাজপুর-৫,দিনাজপুর,মোঃ কাজী আব্দুল গফুর,লাঙ্গল,1472,141,473429,330053,8581,134795
10,দিনাজপুর-৫,দিনাজপুর,মোঃ রুস্তম আলী,মোটর সাইকেল,562,141,473429,330053,8581,134795
11,দিনাজপুর-৬,দিনাজপুর,আবু জাফর মোঃ জাহিদ হোসেন,ধানের শীষ,203887,199,553211,397922,9355,145934
11,দিনাজপুর-৬,দিনাজপুর,মোঃ আনোয়ারুল ইসলাম,দাঁড়িপাল্লা,188719,199,553211,397922,9355,145934
11,দিনাজপুর-৬,দিনাজপুর,মোঃ রেজাউল হক,লাঙ্গল,2669,199,553211,397922,9355,145934
11,দিনাজপুর-৬,দিনাজপুর,মোঃ নূর আলম সিদ্দিক,হাতপাখা,1642,199,553211,397922,9355,145934
11,দিনাজপুর-৬,দিনাজপুর,মোঃ আবদুল হাকিম,মই,447,199,553211,397922,9355,145934
11,দিনাজপুর-৬,দিনাজপুর,মোঃ আব্দুল্লাহ্‌,ফুটবল,411,199,553211,397922,9355,145934
11,দিনাজপুর-৬,দিনাজপুর,মোঃ শাহনেওয়াজ ফিরোজ শুভ শাহ,ঘোড়া,147,199,553211,397922,9355,145934
12,নীলফামারী-১,নীলফামারী,মোঃ আব্দুস সাত্তার,দাঁড়িপাল্লা,149214,154,456603,290779,6120,159704
12,নীলফামারী-১,নীলফামারী,মাওলানা মোঃ মন্জুরুল ইসলাম,খেজুর গাছ,118160,154,456603,290779,6120,159704
