constituency_id,seat_name,seat_name_bn,district_bn,total_voters,total_votes_cast,valid_votes,rejected_votes,absent_voters,turnout_pct,rejection_pct,absence_pct,total_centers,total_candidates,avg_voters_per_center,bnp_plus_votes,bnp_plus_pct,eleven_parties_votes,eleven_parties_pct,duf_votes,duf_pct,ndf_votes,ndf_pct,greater_sunni_votes,greater_sunni_pct,independent_votes,independent_pct,other_party_votes,other_party_pct,bnp_votes,bnp_pct,jamaat_votes,jamaat_pct,ncp_votes,ncp_pct,winner_name,winner_party,winner_votes,winner_pct,runner_up_name,runner_up_party,runner_up_votes,margin,margin_pct,competitiveness,effective_num_candidates,Bangladesh Nationalist Party - BNP,Bangladesh Jamaat-e-Islami,Jatiyo Nagorik Party - NCP,Islamic Andolan Bangladesh,Bangladesh Khelafat Majlis,Jatiya Party,Khelafat Majlis,Gonodhikar Parishad - GOP,Jamiate Ulama-e-Islam Bangladesh,Bangladesh Islami Front,Liberal Democratic Party - LDP,Amar Bangladesh Party - AB Party,Bangladesh Development Party,Bangladesh Jatiya Party - BJP,Gonoshonghoti Andolon,Islamic Front Bangladesh,Communist Party of Bangladesh,Bangladesh Samajtantrik Dal - BASAD,Jonotar Dol,Biplabi Workers Party,Jatiya Samajtantrik Dal - JSD,Bangladesh Nezame Islam Party,National Party - JP,Insaniyat Biplob Bangladesh,Bangladesh Supreme Party - BSP,Zaker Party,Bangladesh Republican Party - BRP,Bangladesh Samajtantrik Dal (Marxist),Bangladesh Jatiyo Samajtantrik Dal - Jasod,Bangladesh Khilafat Andolan,Nagorik Oikko,Bangladesh Congress,Bangladesh Minority Janta Party - BMJP,Amjanatar Dol,National Peoples Party - NPP,Gonoforum,Bangladesh Labour Party,Bangladesh Muslim League,Bangladesh National Awami Party - Bangladesh NAP,Bangladesh Shanskritik Muktijot (Muktijot),Islami Oikyajote,Bangladesh Muslim League - BML,Jatiya Ganatantrik Party - JAGPA,Jatiyatabadi Ganotantrik Andolon - NDM,Bangladesh Nationalist Front - BNF,Bangladesh Jatiya Party,Gonofront,Bangladesh Kallyan Party,Ganotantri Party,Bangladesh Samadhikar Party - BEP
1,Panchagarh 1,পঞ্চগড়-১,পঞ্চগড়,458802,355054,346256,8798,103748,77.4,2.48,22.6,155,7,2960,175256,50.6,166804,48.2,2920,0.8,0,0.0,1017,0.3,0,0.0,259,0.1,174430,50.4,0,0.0,166126,48.0,মুহাম্মদ নওশাদ জমির,Bangladesh Nationalist Party - BNP,174430,50.4,মোঃ সারজিস আলম,Jatiyo Nagorik Party - NCP,166126,8304,2.4,very_close,2.07,174430,,166126,,,,,826,,,,,,,,,,,,,,,,,1017,,,,2920,,,,,,,,678,,,,,,,,259,,,,,
2,Panchagarh 2,পঞ্চগড়-২,পঞ্চগড়,414349,319852,312811,7041,94497,77.2,2.2,22.8,132,8,3139,173686,55.5,127608,40.8,1861,0.6,2126,0.7,1351,0.4,1821,0.6,4358,1.4,173686,55.5,127608,40.8,0,0.0,ফরহাদ হোসেন আজাদ,Bangladesh Nationalist Party - BNP,173686,55.5,মোঃ সফিউল আলম,Bangladesh Jamaat-e-Islami,127608,46078,14.7,competitive,2.11,173686,127608,,4358,,2126,,,,,,,,,,,920,,,,,,,,1351,,,,941,,,,,,,,,,,,,,,,,,,,,
3,Thakurgaon 1,ঠাকুরগাঁও-১,ঠাকুরগাঁও,507200,388069,380670,7399,119131,76.5,1.91,23.5,185,3,2742,237178,62.3,139571,36.7,0,0.0,0,0.0,0,0.0,0,0.0,3921,1.0,237178,62.3,139571,36.7,0,0.0,মির্জা ফখরুল ইসলাম আলমগীর,Bangladesh Nationalist Party - BNP,237178,62.3,দেলাওয়ার হোসেন,Bangladesh Jamaat-e-Islami,139571,97607,25.6,safe,1.91,237178,139571,,3921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Thakurgaon 2,ঠাকুরগাঁও-২,ঠাকুরগাঁও,337273,246316,240715,5601,90957,73.0,2.27,27.0,104,7,3243,122143,50.7,114916,47.7,371,0.2,2854,1.2,0,0.0,0,0.0,431,0.2,120306,50.0,114470,47.6,0,0.0,মোঃ আব্দুস সালাম,Bangladesh Nationalist Party - BNP,120306,50.0,মোঃ আব্দুল হাকিম,Bangladesh Jamaat-e-Islami,114470,5836,2.4,very_close,2.1,120306,114470,,431,,2854,,1837,,,,446,,,,,371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Thakurgaon 3,ঠাকুরগাঁও-৩,ঠাকুরগাঁও,361044,260279,254517,5762,100765,72.1,2.21,27.9,128,10,2821,132438,52.0,90767,35.7,1537,0.6,27047,10.6,503,0.2,276,0.1,1949,0.8,131887,51.8,90767,35.7,0,0.0,মোঃ জাহিদুর রহমান,Bangladesh Nationalist Party - BNP,131887,51.8,মোঃ মিজানুর রহমান,Bangladesh Jamaat-e-Islami,90767,41120,16.2,competitive,2.46,131887,90767,,1283,,26934,,551,,,,,,,,,1537,,,,,,,,503,,,,,,,,666,,,,,113,,,,,,,,,,,,
6,Dinajpur 1,দিনাজপুর-১,দিনাজপুর,414353,308493,302221,6272,105860,74.5,2.03,25.5,128,6,3237,178882,59.2,116488,38.5,0,0.0,1515,0.5,0,0.0,0,0.0,5336,1.8,178489,59.1,116488,38.5,0,0.0,মোঃ মনজুরুল ইসলাম,Bangladesh Nationalist Party - BNP,178489,59.1,মোঃ মতিউর রহমান,Bangladesh Jamaat-e-Islami,116488,62001,20.5,safe,2.01,178489,116488,,3074,,1515,,393,,,,,,,,,,,,,,,,,,2262,,,,,,,,,,,,,,,,,,,,,,,,
7,Dinajpur 2,দিনাজপুর-২,দিনাজপুর,368137,275472,269107,6365,92665,74.8,2.31,25.2,116,8,3174,138878,51.6,104737,38.9,0,0.0,5066,1.9,0,0.0,19377,7.2,1049,0.4,138878,51.6,103693,38.5,0,0.0,মোঃ সাদিক রিয়াজ,Bangladesh Nationalist Party - BNP,138878,51.6,"এ, কে, এম আফজালুল আনাম",Bangladesh Jamaat-e-Islami,103693,35185,13.1,competitive,2.39,138878,103693,,1049,1044,4613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,453,,,,,,,,,,,,
8,Dinajpur 3,দিনাজপুর-৩,দিনাজপুর,411474,285961,280512,5449,125513,69.5,1.91,30.5,130,8,3165,139207,49.6,134618,48.0,964,0.3,4002,1.4,0,0.0,0,0.0,1721,0.6,139207,49.6,134618,48.0,0,0.0,সৈয়দ জাহাঙ্গীর আলম,Bangladesh Nationalist Party - BNP,139207,49.6,মোঃ মাইনুল আলম,Bangladesh Jamaat-e-Islami,134618,4589,1.6,very_close,2.1,139207,134618,,1392,,3797,,,,,,,,,,,685,279,329,,,,,,,,,,,,,,,,,,,205,,,,,,,,,,,,
9,Dinajpur 4,দিনাজপুর-৪,দিনাজপুর,417762,304298,298034,6264,113464,72.8,2.06,27.2,130,4,3214,165577,55.6,127666,42.8,0,0.0,3105,1.0,0,0.0,0,0.0,1686,0.6,165577,55.6,127666,42.8,0,0.0,মোঃ আখতারুজ্জামান মিয়া,Bangladesh Nationalist Party - BNP,165577,55.6,মোঃ আফতাব উদ্দীন মোল্লা,Bangladesh Jamaat-e-Islami,127666,37911,12.7,competitive,2.03,165577,127666,,1686,,3105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Dinajpur 5,দিনাজপুর-৫,দিনাজপুর,473429,338634,330053,8581,134795,71.5,2.53,28.5,141,7,3358,97727,29.6,108948,33.0,0,0.0,1472,0.4,0,0.0,121906,36.9,0,0.0,97727,29.6,0,0.0,108948,33.0,"এ, জেড, এম, রেজওয়ানুল হক",Independent,113650,34.4,মোঃ আব্দুল আহাদ,Jatiyo Nagorik Party - NCP,108948,4702,1.4,very_close,3.17,97727,,108948,,,1472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
