district,district_bn,seat_count,total_voters,total_votes_cast,valid_votes,rejected_votes,absent_voters,turnout_pct,rejection_pct,absence_pct,total_centers,total_candidates,avg_voters_per_center,avg_candidates_per_seat,safe_seats,competitive_seats,marginal_seats,very_close_seats,bnp_plus_votes,bnp_plus_pct,eleven_parties_votes,eleven_parties_pct,duf_votes,duf_pct,ndf_votes,ndf_pct,greater_sunni_votes,greater_sunni_pct,independent_votes,independent_pct,other_party_votes,other_party_pct,bnp_votes,bnp_pct,jamaat_votes,jamaat_pct,ncp_votes,ncp_pct,leading_party,leading_party_votes,leading_party_pct,runner_up_party,runner_up_votes,runner_up_pct,vote_margin,vote_margin_pct,most_winning_seats_party,most_winning_seats_count,bnp_won_seats,jamaat_won_seats,ncp_won_seats,independent_won_seats,other_party_won_seats,effective_num_parties
Bagerhat,বাগেরহাট,4,1349283,904970,888959,16011,444313,67.07,1.77,32.93,547,23,2466.7,5.75,1,1,1,1,379045,42.64,430134,48.39,0,0.0,1912,0.22,0,0.0,60704,6.83,17164,1.93,379045,42.64,429844,48.35,0,0.0,Bangladesh Jamaat-e-Islami,429844,48.35,Bangladesh Nationalist Party - BNP,379045,42.64,50799,5.71,Bangladesh Jamaat-e-Islami,3,1,3,0,0,0,2.38
Bandarban,বান্দরবান,1,310729,177277,171352,5925,133452,57.05,3.34,42.95,186,4,1670.59,4.0,1,0,0,0,139231,81.25,25124,14.66,0,0.0,2368,1.38,0,0.0,0,0.0,4629,2.7,139231,81.25,0,0.0,25124,14.66,Bangladesh Nationalist Party - BNP,139231,81.25,Jatiyo Nagorik Party - NCP,25124,14.66,114107,66.59,Bangladesh Nationalist Party - BNP,1,1,0,0,0,0,1.46
Barguna,বরগুনা,2,845905,478206,470185,8021,367699,56.53,1.68,43.47,312,13,2711.23,6.5,0,0,0,2,224138,47.67,88498,18.82,0,0.0,2174,0.46,0,0.0,285,0.06,155090,32.98,223765,47.59,83015,17.66,0,0.0,Bangladesh Nationalist Party - BNP,223765,47.59,Islamic Andolan Bangladesh,154762,32.92,69003,14.68,Bangladesh Nationalist Party - BNP,1,1,0,0,0,1,2.73
Barishal,বরিশাল,6,2255573,1268946,1242042,26904,986627,56.26,2.12,43.74,833,36,2707.77,6.0,3,3,0,0,662854,53.37,304121,24.49,22899,1.84,20746,1.67,0,0.0,44152,3.55,187270,15.08,660561,53.18,244636,19.7,0,0.0,Bangladesh Nationalist Party - BNP,660561,53.18,Bangladesh Jamaat-e-Islami,244636,19.7,415925,33.49,Bangladesh Nationalist Party - BNP,6,6,0,0,0,0,2.87
Bhola,ভোলা,4,1677950,945165,922159,23006,732785,56.33,2.43,43.67,525,29,3196.1,7.25,2,2,0,0,557890,60.5,301720,32.72,0,0.0,2330,0.25,302,0.03,2273,0.25,57644,6.25,451648,48.98,245176,26.59,0,0.0,Bangladesh Nationalist Party - BNP,451648,48.98,Bangladesh Jamaat-e-Islami,245176,26.59,206472,22.39,Bangladesh Nationalist Party - BNP,3,3,0,0,0,1,3.02
Bogura,বগুড়া,7,2957424,2107066,2071059,36007,850358,71.25,1.71,28.75,983,34,3008.57,4.86,5,1,1,0,1320900,63.78,722628,34.89,2563,0.12,3531,0.17,0,0.0,181,0.01,21256,1.03,1320627,63.77,721500,34.84,0,0.0,Bangladesh Nationalist Party - BNP,1320627,63.77,Bangladesh Jamaat-e-Islami,721500,34.84,599127,28.93,Bangladesh Nationalist Party - BNP,7,7,0,0,0,0,1.89
Brahmanbaria,ব্রাহ্মণবাড়িয়া,6,2568123,1320167,1287905,32262,1247956,51.41,2.44,48.59,805,49,3190.21,8.17,4,1,0,1,673129,52.27,285279,22.15,354,0.03,7029,0.55,3622,0.28,269679,20.94,48813,3.79,498122,38.68,149179,11.58,78351,6.08,Bangladesh Nationalist Party - BNP,498122,38.68,Independent,269679,20.94,228443,17.74,Bangladesh Nationalist Party - BNP,4,4,0,0,1,1,4.49
Chandpur,চাঁদপুর,5,2284735,1239303,1206889,32414,1045432,54.24,2.62,45.76,706,36,3236.17,7.2,4,0,0,1,716593,59.38,352614,29.22,652,0.05,3648,0.3,19916,1.65,74036,6.13,39430,3.27,715943,59.32,225865,18.71,0,0.0,Bangladesh Nationalist Party - BNP,715943,59.32,Bangladesh Jamaat-e-Islami,225865,18.71,490078,40.61,Bangladesh Nationalist Party - BNP,4,4,0,0,1,0,2.48
Chapainawabganj,চাঁপাইনবাবগঞ্জ,3,1410985,1036188,1014260,21928,374797,73.44,2.12,26.56,515,16,2739.78,5.33,0,2,0,1,441539,43.53,557429,54.96,585,0.06,10776,1.06,418,0.04,0,0.0,3513,0.35,441189,43.5,557429,54.96,0,0.0,Bangladesh Jamaat-e-Islami,557429,54.96,Bangladesh Nationalist Party - BNP,441189,43.5,116240,11.46,Bangladesh Jamaat-e-Islami,3,0,3,0,0,0,2.04
Chattogram,চট্টগ্রাম,14,5663523,2871515,2804231,67284,2792008,50.7,2.34,49.3,1701,98,3329.53,7.0,11,1,0,2,1603022,57.16,869434,31.0,1542,0.05,5591,0.2,228572,8.15,61947,2.21,34123,1.22,1600334,57.07,748262,26.68,2906,0.1,Bangladesh Nationalist Party - BNP,1600334,57.07,Bangladesh Jamaat-e-Islami,748262,26.68,852072,30.39,Bangladesh Nationalist Party - BNP,12,12,2,0,0,0,2.48
