seat,ec_id,ec_valid,our_tvc,our_known,tvc_diff,known_diff,ec_ncand,our_ncand,ec_winner_party,ec_winner_votes,our_winner,our_winner_votes,winner_vote_diff
Thakurgaon 1,3,380670,383804,383804,3134,3134,3,3,Bangladesh Nationalist Party - BNP,237178,Mirza Fakhrul Islam Alamgir,238836,1658
Thakurgaon 2,4,240715,242711,242711,1996,1996,7,7,Bangladesh Nationalist Party - BNP,120306,Md. Abdus Salam,121017,711
Thakurgaon 3,5,254517,256834,256834,2317,2317,10,10,Bangladesh Nationalist Party - BNP,131887,Md. Zahidur Rahman,132797,910
Dinajpur 1,6,302221,304095,304095,1874,1874,6,6,Bangladesh Nationalist Party - BNP,178489,Md. Manzurul Islam,179314,825
Dinajpur 2,7,269107,271205,275900,2098,6793,8,8,Bangladesh Nationalist Party - BNP,138878,Md. Sadik Riyaz,144317,5439
Dinajpur 3,8,280512,283628,283628,3116,3116,8,8,Bangladesh Nationalist Party - BNP,139207,Syed Jahangir Alam,140608,1401
Dinajpur 4,9,298034,300624,300624,2590,2590,4,4,Bangladesh Nationalist Party - BNP,165577,Md. Akhtaruzzaman Mia,166717,1140
Dinajpur 5,10,330053,333045,333045,2992,2992,7,7,Independent,113650,A. Z. M. Rezwanul Haque,114484,834
Dinajpur 6,11,397922,401188,401188,3266,3266,7,7,Bangladesh Nationalist Party - BNP,203887,Abu Jafar Md. Zahid Hossain,205118,1231
Nilphamari 1,12,290779,293530,293530,2751,2751,8,8,Bangladesh Jamaat-e-Islami,149214,Md. Abdus Sattar,150824,1610
Nilphamari 2,13,283845,285959,285959,2114,2114,6,6,Bangladesh Jamaat-e-Islami,145202,Al Faruq Abdul Latif,146430,1228
Nilphamari 3,14,202009,203874,203874,1865,1865,4,4,Bangladesh Jamaat-e-Islami,108560,Obaidullah Salafi,109686,1126
Nilphamari 4,15,287879,290197,290397,2318,2518,9,9,Bangladesh Jamaat-e-Islami,124865,Abdul Muttakim,126222,1357
Lalmonirhat 1,16,282613,284981,284981,2368,2368,9,9,Bangladesh Nationalist Party - BNP,137677,Md. Hasan Razib Prodhan,138686,1009
Lalmonirhat 2,17,271796,241198,241198,-30598,-30598,7,7,Bangladesh Nationalist Party - BNP,123343,Md. Rokon Uddin Babul,123946,603
Lalmonirhat 3,18,201051,201656,202622,605,1571,6,6,Bangladesh Nationalist Party - BNP,138691,Asadul Habib Dulu,139657,966
Rangpur 1,19,220874,214495,214495,-6379,-6379,5,6,Bangladesh Jamaat-e-Islami,145543,Md. Raihan Siraji,145088,-455
Rangpur 2,20,253874,65176,84869,-188698,-169005,5,5,Bangladesh Jamaat-e-Islami,134187,A. T. M. Azharul Islam,43076,-91111
