seat,party,ec_votes,our_votes,diff,diff_pct
Bagerhat 1,Amar Bangladesh Party - AB Party,290,291,1,0.3
Bagerhat 1,Bangladesh Jamaat-e-Islami,116180,117527,1347,1.2
Bagerhat 1,Bangladesh Muslim League,238,0,-238,-100.0
Bagerhat 1,Bangladesh Muslim League - BML,165,409,244,147.9
Bagerhat 1,Bangladesh Nationalist Party - BNP,113442,114323,881,0.8
Bagerhat 1,Independent,11529,11750,221,1.9
Bagerhat 1,Jatiya Party,546,571,25,4.6
Bagerhat 2,Bangladesh Jamaat-e-Islami,116370,117709,1339,1.2
Bagerhat 2,Bangladesh Nationalist Party - BNP,65874,66409,535,0.8
Bagerhat 2,Independent,48546,48965,419,0.9
Bagerhat 2,Islamic Andolan Bangladesh,4281,4313,32,0.7
Bagerhat 3,Bangladesh Jamaat-e-Islami,82877,83705,828,1.0
Bagerhat 3,Bangladesh Nationalist Party - BNP,102193,103711,1518,1.5
Bagerhat 3,Independent,415,425,10,2.4
Bagerhat 3,Islamic Andolan Bangladesh,3622,3640,18,0.5
Bagerhat 3,Jatiya Samajtantrik Dal - JSD,344,349,5,1.5
Bagerhat 4,Bangladesh Jamaat-e-Islami,114417,116067,1650,1.4
Bagerhat 4,Bangladesh Nationalist Party - BNP,97536,98326,790,0.8
Bagerhat 4,Independent,214,229,15,7.0
Bagerhat 4,Islamic Andolan Bangladesh,8443,8501,58,0.7
Bagerhat 4,Jatiya Party,1128,1147,19,1.7
Bagerhat 4,Jatiya Samajtantrik Dal - JSD,309,315,6,1.9
Bandarban 1,Bangladesh Nationalist Party - BNP,139231,141455,2224,1.6
Bandarban 1,Islamic Andolan Bangladesh,4629,4718,89,1.9
Bandarban 1,Jatiya Party,2368,2435,67,2.8
Bandarban 1,Jatiyo Nagorik Party - NCP,25124,26162,1038,4.1
Barguna 1,Bangladesh Nationalist Party - BNP,134337,136145,1808,1.3
Barguna 1,Islamic Andolan Bangladesh,138510,140291,1781,1.3
Barguna 1,Khelafat Majlis,5483,6232,749,13.7
Barguna 1,National Party - JP,959,981,22,2.3
Barguna 2,Bangladesh Congress,215,219,4,1.9
Barguna 2,Bangladesh Jamaat-e-Islami,83015,85247,2232,2.7
Barguna 2,Bangladesh Jatiya Party,113,0,-113,-100.0
Barguna 2,Bangladesh Jatiya Party - BJP,0,115,115,0
Barguna 2,Bangladesh Nationalist Party - BNP,89428,90643,1215,1.4
Barguna 2,Independent,285,298,13,4.6
Barguna 2,Islamic Andolan Bangladesh,16252,16463,211,1.3
Barguna 2,Jatiya Party,1215,1248,33,2.7
Barguna 2,Jatiyatabadi Ganotantrik Andolon - NDM,284,294,10,3.5
Barguna 2,National Peoples Party - NPP,89,95,6,6.7
Barishal 1,Bangladesh Jamaat-e-Islami,45140,46263,1123,2.5
Barishal 1,Bangladesh Nationalist Party - BNP,99418,100552,1134,1.1
Barishal 1,Independent,43808,44188,380,0.9
Barishal 1,Islamic Andolan Bangladesh,6760,6846,86,1.3
Barishal 1,National Party - JP,1725,1736,11,0.6
Barishal 2,Bangladesh Jamaat-e-Islami,72171,74082,1911,2.6
Barishal 2,Bangladesh Jatiyo Samajtantrik Dal - Jasod,118,0,-118,-100.0
Barishal 2,Bangladesh Nationalist Party - BNP,140085,141622,1537,1.1
Barishal 2,Gonodhikar Parishad - GOP,681,700,19,2.8
Barishal 2,Islamic Andolan Bangladesh,5920,6021,101,1.7
Barishal 2,Jatiya Party,1173,1199,26,2.2
Barishal 2,Jatiya Samajtantrik Dal - JSD,0,135,135,0
Barishal 2,National Party - JP,2327,2329,2,0.1
Barishal 2,National Peoples Party - NPP,179,185,6,3.4
Barishal 3,Amar Bangladesh Party - AB Party,59485,61192,1707,2.9
Barishal 3,Bangladesh Nationalist Party - BNP,79771,80930,1159,1.5
Barishal 3,Bangladesh Samajtantrik Dal - BASAD,198,214,16,8.1
Barishal 3,Gonodhikar Parishad - GOP,839,860,21,2.5
Barishal 3,Islamic Andolan Bangladesh,16051,16325,274,1.7
Barishal 3,Jatiya Party,14003,14184,181,1.3
Barishal 4,Bangladesh Jamaat-e-Islami,72792,74684,1892,2.6
Barishal 4,Bangladesh Jatiyo Samajtantrik Dal - Jasod,329,0,-329,-100.0
Barishal 4,Bangladesh Nationalist Party - BNP,127192,128322,1130,0.9
