seat_name,candidate,party,votes
Panchagarh 1,Muhammad Naushad Zamir,Bangladesh Nationalist Party (BNP),176169
Panchagarh 1,Md. Sarjis Alam,National Citizen Party (NCP),168049
Panchagarh 2,Farhad Hossain Azad,Bangladesh Nationalist Party (BNP),174650
Panchagarh 2,Md. Safiul Alam,Bangladesh Jamaat-e-Islami (Jamaat),128862
Thakurgaon 1,Mirza Fakhrul Islam Alamgir,Bangladesh Nationalist Party (BNP),238836
Thakurgaon 1,Delawar Hossain,Bangladesh Jamaat-e-Islami (Jamaat),141017
Thakurgaon 2,Md. Abdus Salam,Bangladesh Nationalist Party (BNP),121017
Thakurgaon 2,Md. Abdul Hakim,Bangladesh Jamaat-e-Islami (Jamaat),115707
Thakurgaon 3,Md. Zahidur Rahman,Bangladesh Nationalist Party (BNP),132797
Thakurgaon 3,Md. Mizanur Rahman,Bangladesh Jamaat-e-Islami (Jamaat),91934
Dinajpur 1,Md. Manjurul Islam,Bangladesh Nationalist Party (BNP),179314
Dinajpur 1,Md. Matiur Rahman,Bangladesh Jamaat-e-Islami (Jamaat),117481
Dinajpur 2,Md. Sadiq Riaz,Bangladesh Nationalist Party (BNP),144317
Dinajpur 2,"A, K, M Afzalul Anam",Bangladesh Jamaat-e-Islami (Jamaat),101831
Dinajpur 3,Syed Jahangir Alam,Bangladesh Nationalist Party (BNP),139207
Dinajpur 3,Md. Mainul Alam,Bangladesh Jamaat-e-Islami (Jamaat),134618
Dinajpur 4,Md. Akhtaruzzaman Mia,Bangladesh Nationalist Party (BNP),165577
Dinajpur 4,Md. Aftab Uddin Mollah,Bangladesh Jamaat-e-Islami (Jamaat),127666
Dinajpur 5,"A, Z, M, Rezwanul Haque",Independent Candidate (Independent),113650
Dinajpur 5,Md. Abdul Ahad,National Citizen Party (NCP),108948
Dinajpur 6,Abu Zafar Md. Zahid Hossain,Bangladesh Nationalist Party (BNP),203887
Dinajpur 6,Md. Anwarul Islam,Bangladesh Jamaat-e-Islami (Jamaat),188719
Nilphamari 1,Md. Abdus Sattar,Bangladesh Jamaat-e-Islami (Jamaat),149224
Nilphamari 1,Maulana Md. Manjurul Islam,Jamiat Ulema-e-Islam Bangladesh (JUIB),118160
Nilphamari 2,Alfaruq Abdul Latif,Bangladesh Jamaat-e-Islami (Jamaat),145202
Nilphamari 2,Shahreen Islam,Bangladesh Nationalist Party (BNP),134579
Nilphamari 3,Obaidullah Salafi,Bangladesh Jamaat-e-Islami (Jamaat),108560
Nilphamari 3,Alhaj Syed Ali,Bangladesh Nationalist Party (BNP),89102
Nilphamari 4,Abdul Muntakim,Bangladesh Jamaat-e-Islami (Jamaat),124865
Nilphamari 4,Md. Abdul Gafur Sarkar,Bangladesh Nationalist Party (BNP),81526
Lalmonirhat 1,Md Hasan Rajeev Pradhan,Bangladesh Nationalist Party (BNP),138686
Lalmonirhat 1,Md. Anwarul Islam Raju,Bangladesh Jamaat-e-Islami (Jamaat),129572
Lalmonirhat 2,Md. Rokon Uddin Babul,Bangladesh Nationalist Party (BNP),123946
Lalmonirhat 2,Md. Feroz Haider,Bangladesh Jamaat-e-Islami (Jamaat),6694
Lalmonirhat 3,Asadul Habib Dulu,Bangladesh Nationalist Party (BNP),139657
Lalmonirhat 3,Md. Abu Taher,Bangladesh Jamaat-e-Islami (Jamaat),56244
Rangpur 1,Md Raihan Sirazi,Bangladesh Jamaat-e-Islami (Jamaat),145088
Rangpur 1,Md Mokarram Hossain Sujan,Bangladesh Nationalist Party (BNP),69407
Rangpur 2,ATM Azharul Islam,Bangladesh Jamaat-e-Islami (Jamaat),43076
Rangpur 2,Muhammad Ali Sarkar,Bangladesh Nationalist Party (BNP),22100
Rangpur 3,Md Mahbubur Rahman (Belal),Bangladesh Jamaat-e-Islami (Jamaat),175827
Rangpur 3,Md. Samsuzzaman Samu,Bangladesh Nationalist Party (BNP),84578
Rangpur 4,Akhtar Hossain,National Citizen Party (NCP),147947
Rangpur 4,Mohammad Emdadul Haque Bharsa,Bangladesh Nationalist Party (BNP),139616
Rangpur 5,Md. Golam Rabbani,Bangladesh Jamaat-e-Islami (Jamaat),175208
Rangpur 5,Md. Golam Rabbani,Bangladesh Nationalist Party (BNP),114141
Rangpur 6,Md. Nurul Amin,Bangladesh Jamaat-e-Islami (Jamaat),118890
Rangpur 6,Md. Saiful Islam,Bangladesh Nationalist Party (BNP),116919
Kurigram 1,Md. Anwarul Islam,Bangladesh Jamaat-e-Islami (Jamaat),141090
Kurigram 1,Saifur Rahman Rana,Bangladesh Nationalist Party (BNP),123025
Kurigram 2,Atiqur Rahman Mojahid,National Citizen Party (NCP),178869
Kurigram 2,Md. Sohail Hosnain Kaykobad,Bangladesh Nationalist Party (BNP),170335
Kurigram 3,Md. Mahbubul Alam,Bangladesh Jamaat-e-Islami (Jamaat),106923
Kurigram 3,Dr. Md. Akkach Ali Sarkar,Islami Andolan Bangladesh (IAB),33380
Kurigram 4,Md. Mostafizur Rahman,Bangladesh Jamaat-e-Islami (Jamaat),108210
Kurigram 4,Md. Azizur Rahman,Bangladesh Nationalist Party (BNP),84423
Gaibandha 1,Md Majedur Rahman,Bangladesh Jamaat-e-Islami (Jamaat),140726
Gaibandha 1,Khandkar Ziaul Islam Mohammad Ali,Bangladesh Nationalist Party (BNP),37997
Gaibandha 2,Md. Abdul Karim,Bangladesh Jamaat-e-Islami (Jamaat),122630
Gaibandha 2,Md. Anisuzzaman Khan Babu,Bangladesh Nationalist Party (BNP),92890
Gaibandha 3,Abul Kauchar Mohammad Nazrul Islam,Bangladesh Jamaat-e-Islami (Jamaat),162457
Gaibandha 3,Professor Dr. Syed Mainul Hasan Sadiq,Bangladesh Nationalist Party (BNP),139864
Gaibandha 4,Mohammad Shamim Qaiser,Bangladesh Nationalist Party (BNP),142772
Gaibandha 4,Md Abdur Rahim Sarkar,Bangladesh Jamaat-e-Islami (Jamaat),139738
Gaibandha 5,Md. Abdul Waresh,Bangladesh Jamaat-e-Islami (Jamaat),89274
Gaibandha 5,Md Farooq Alam Sarkar,Bangladesh Nationalist Party (BNP),73483
Joypurhat 1,Md. Fazlur Rahman Sayeed,Bangladesh Jamaat-e-Islami (Jamaat),165192
Joypurhat 1,Md. Masud Rana Pradhan,Bangladesh Nationalist Party (BNP),155309
Joypurhat 2,Md. Abdul Bari,Bangladesh Nationalist Party (BNP),158065
Joypurhat 2,SM Rashedul Alam,Bangladesh Jamaat-e-Islami (Jamaat),92517
Bogura 1,Kazi Rafiqul Islam,Bangladesh Nationalist Party (BNP),171440
Bogura 1,Md. Shahabuddin,Bangladesh Jamaat-e-Islami (Jamaat),57959
Bogura 2,Mir Shahe Alam,Bangladesh Nationalist Party (BNP),145024
Bogura 2,Abul Azad Mohammad Shahaduzzaman,Bangladesh Jamaat-e-Islami (Jamaat),93548
Bogura 3,Md. Abdul Mohit Talukder,Bangladesh Nationalist Party (BNP),127406
Bogura 3,Noor Mohammad,Bangladesh Jamaat-e-Islami (Jamaat),111026
Bogura 4,Md. Mosharraf Hossain,Bangladesh Nationalist Party (BNP),155339
Bogura 4,Md. Mustafa Faisal,Bangladesh Jamaat-e-Islami (Jamaat),108978
Bogura 5,Ghulam Mohammad Siraj,Bangladesh Nationalist Party (BNP),248841
Bogura 5,Md Dabibur Rahman,Bangladesh Jamaat-e-Islami (Jamaat),143329
Bogura 6,Tariq Rahman,Bangladesh Nationalist Party (BNP),216284
Bogura 6,Md. Abidur Rahman,Bangladesh Jamaat-e-Islami (Jamaat),97626
Bogura 7,Morshed Milton,Bangladesh Nationalist Party (BNP),264212
Bogura 7,Md. Golam Rabbani,Bangladesh Jamaat-e-Islami (Jamaat),116665
Chapainawabganj 1,Md. Keramat Ali,Bangladesh Jamaat-e-Islami (Jamaat),206893
Chapainawabganj 1,Md. Shahjahan Mia,Bangladesh Nationalist Party (BNP),162515
Chapainawabganj 2,Md. Mizanur Rahman,Bangladesh Jamaat-e-Islami (Jamaat),171227
Chapainawabganj 2,Md. Aminul Islam,Bangladesh Nationalist Party (BNP),155119
Chapainawabganj 3,Md. Nurul Islam,Bangladesh Jamaat-e-Islami (Jamaat),189640
Chapainawabganj 3,Md. Harunur Rashid,Bangladesh Nationalist Party (BNP),127037
Naogaon 1,Md. Mostafizur Rahman,Bangladesh Nationalist Party (BNP),173864
Naogaon 1,Moha: Mahbubul Alam,Bangladesh Jamaat-e-Islami (Jamaat),153816
Naogaon 2,Md. Enamul Haque,Bangladesh Jamaat-e-Islami (Jamaat),141526
Naogaon 2,Md. Samsujjoha Khan,Bangladesh Nationalist Party (BNP),134533
Naogaon 3,Md. Fazle Huda,Bangladesh Nationalist Party (BNP),166889
Naogaon 3,Md. Mahfuzur Rahman,Bangladesh Jamaat-e-Islami (Jamaat),119421
Naogaon 4,Ikramul Bari Tipu,Bangladesh Nationalist Party (BNP),133924
Naogaon 4,Md. Abdur Rakib,Bangladesh Jamaat-e-Islami (Jamaat),97585
Naogaon 5,Md. Zahidul Islam Dhulu,Bangladesh Nationalist Party (BNP),129385
Naogaon 5,Abu Sadat Md. Sayem,Bangladesh Jamaat-e-Islami (Jamaat),104747
Naogaon 6,Sheikh Md. Rezaul Islam,Bangladesh Nationalist Party (BNP),108866
Naogaon 6,Md. Khabirul Islam,Bangladesh Jamaat-e-Islami (Jamaat),97629
Rajshahi 1,Md. Mujibur Rahman,Bangladesh Jamaat-e-Islami (Jamaat),171786
Rajshahi 1,Md. Sharif Uddin,Bangladesh Nationalist Party (BNP),169902
Rajshahi 2,Md. Mizanur Rahman Minu,Bangladesh Nationalist Party (BNP),128546
Rajshahi 2,Mohammad Jahangir,Bangladesh Jamaat-e-Islami (Jamaat),100370
Rajshahi 3,Mohammad Shafiqul Haque Milon,Bangladesh Nationalist Party (BNP),176318
Rajshahi 3,Md. Abul Kalam Azad,Bangladesh Jamaat-e-Islami (Jamaat),137927
Rajshahi 4,Md. Abdul Bari Sardar,Bangladesh Jamaat-e-Islami (Jamaat),115226
Rajshahi 4,"D, M, D Ziaur Rahman",Bangladesh Nationalist Party (BNP),109461
Rajshahi 5,Professor Nazrul Islam,Bangladesh Nationalist Party (BNP),153425
Rajshahi 5,Manzoor Rahman,Bangladesh Jamaat-e-Islami (Jamaat),73445
Rajshahi 6,Md. Abu Said Chand,Bangladesh Nationalist Party (BNP),148672
Rajshahi 6,Md. Nazmul Haque,Bangladesh Jamaat-e-Islami (Jamaat),92965
Natore 1,Farzana Sharmin,Bangladesh Nationalist Party (BNP),102726
Natore 1,Md. Abul Kalam Azad,Bangladesh Jamaat-e-Islami (Jamaat),90568
Natore 2,"M, Ruhul Quddus Talukdar Dulu",Bangladesh Nationalist Party (BNP),162841
Natore 2,Md Yunus Ali,Bangladesh Jamaat-e-Islami (Jamaat),130066
