seat_name,candidate,party,votes,num_sources,sources,vote_details,comment
Bagerhat 1,Md. Mashirur Rahman Khan,Bangladesh Jamaat-e-Islami (Jamaat),117527,4,"bss,ds,dt,tbs",bss=117527; ds=117527; dt=117527; tbs=117527,
Bagerhat 1,Kapil Krishna Mondal,Bangladesh Nationalist Party (BNP),114323,4,"bss,ds,dt,tbs",bss=114323; ds=114323; dt=114323; tbs=114323,
Bagerhat 1,Md. Sheikh Masud Rana,Independent Candidate (Independent),6467,3,"ds,dt,tbs",ds=0; dt=6467; tbs=6467,
Bagerhat 1,M. A. H. Selim,Independent Candidate (Independent),5283,3,"ds,dt,tbs",ds=0; dt=5283; tbs=5283,
Bagerhat 1,S. M. Golam Sorrowar,Jatiya Party (JaPa),571,3,"ds,dt,tbs",ds=0; dt=571; tbs=571,
Bagerhat 1,Md. Aminul Islam,Amar Bangladesh Party (AB),291,3,"ds,dt,tbs",ds=0; dt=291; tbs=291,
Bagerhat 1,M. D. Shamsul Haque,Bangladesh Muslim League (BML),242,3,"ds,dt,tbs",ds=0; dt=242; tbs=242,"same-party-merged (LOW SIMILARITY 0.38): [ds,dt,tbs] 'A. Sabur Sheikh' (ds=0; dt=167; tbs=167) -> [ds,dt,tbs] 'M. D. Shamsul Haque' (ds=0; dt=242; tbs=242), party=Bangladesh Muslim League (BML)"
Bagerhat 2,Sheikh Manjurul Haque (Rahad),Bangladesh Jamaat-e-Islami (Jamaat),117709,4,"bss,ds,dt,tbs",bss=117709; ds=117709; dt=117709; tbs=117709,
Bagerhat 2,Sheikh Mohammad Zakir Hossain,Bangladesh Nationalist Party (BNP),66409,4,"bss,ds,dt,tbs",bss=66409; ds=66409; dt=66409; tbs=66409,
Bagerhat 2,M. A. H. Selim,Independent Candidate (Independent),48965,3,"ds,dt,tbs",ds=0; dt=48965; tbs=48965,
Bagerhat 2,Sheikh Atiyar Rahman,Islami Andolan Bangladesh (IAB),4313,3,"ds,dt,tbs",ds=0; dt=4313; tbs=4313,
Bagerhat 3,Sheikh Faridul Islam,Bangladesh Nationalist Party (BNP),102661,4,"bss,ds,dt,tbs",bss=102661; ds=103711; dt=102661; tbs=102661,
Bagerhat 3,Mohammed Abdul Wadud Sheikh,Bangladesh Jamaat-e-Islami (Jamaat),83550,4,"bss,ds,dt,tbs",bss=83550; ds=83705; dt=83550; tbs=83550,
Bagerhat 3,Sheikh Zillur Rahman,Islami Andolan Bangladesh (IAB),3460,3,"ds,dt,tbs",ds=0; dt=3460; tbs=3640,
Bagerhat 3,M. A. H. Selim,Independent Candidate (Independent),425,3,"ds,dt,tbs",ds=0; dt=425; tbs=425,
