seat_name,division,district,area,total_voters,male_voters,female_voters,total_centers,total_candidates,total_votes_cast,referendum_yes,referendum_no,winner,winner_party,winner_votes,runner_up,runner_up_party,runner_up_votes,independent_total,Bangladesh Nationalist Party (BNP),Bangladesh Jamaat-e-Islami (Jamaat),National Citizen Party (NCP),Khelafat Majlis,Islami Andolan Bangladesh (IAB),Jatiya Party (JaPa),Bangladesh Islami Front (BIF),Gono Odhikar Parishad (GOP),Jamiat Ulema-e-Islam Bangladesh (JUIB),Bangladesh Liberal Democratic Party (LDP),Amar Bangladesh Party (AB),Bangladesh Development Party (BDP),Bangladesh Jatiya Party (BJP),Ganosanhati Andolan (GSA),Communist Party of Bangladesh (CPB),Jatiya Samajtantrik Dal (JSD),Bangladesh Samajtantrik Dal (Basad),Unique - Govinda Chandra Pramanik,Revolutionary Workers Party of Bangladesh (RWPB),Bangladesh Supreme Party (BSP),Bangladesh Nezame Islam Party (BNIP),Jatiya Party (Manju) (JP–Manju),Insaniyat Biplob Bangladesh (IBB),Janotar Dol,Bangladesh Republican Party (BRP),Zaker Party (ZP),Socialist Party of Bangladesh (Marxist) (SPB-M),Bangladesh Minority Janata Party (BMJP),Bangladesh Muslim League (BML),Bangladesh Congress,Nagorik Oikya (NO),Bangladesh Khelafat Andolon (BKA),Amjanatar Dol,National People's Party (NPP),Bangladesh Labour Party,Bangladesh National Awami Party–Bangladesh NAP (BNAP),Gono Forum (GF),Bangladesh Sangskritik Muktijote (BSM),Islami Oikya Jote (IOJ),Jatiya Ganatantrik Party (JAGPA),Nationalist Democratic Movement (NDM),Bangladesh Nationalist Front (BNF),Bangladesh Kallyan Party (BKP),Gono Front (GF),Ganatantri Party (GP),Bangladesh Somo Odhikar Party (BEP)
Bagerhat 1,Khulna,Bagerhat,"Mollahat, Fakirhat, Chitalmari",375560,190838,184720,124,8,231850,135272,99274,Md. Mashirur Rahman Khan,Bangladesh Jamaat-e-Islami (Jamaat),117527,Kapil Krishna Mondal,Bangladesh Nationalist Party (BNP),114323,11750,114323,117527,,,,571,,,,,291,,,,,,,,,,,,,,,,,,409,,,,,,,,,,,,,,,,,
Bagerhat 2,Khulna,Bagerhat,"Kachua, Bagerhat Sadar",338009,167739,170265,125,4,184118,157757,68106,Sheikh Manjurul Haque (Rahad),Bangladesh Jamaat-e-Islami (Jamaat),117709,Sheikh Mohammad Zakir Hossain,Bangladesh Nationalist Party (BNP),66409,48965,66409,117709,,,4313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bagerhat 3,Khulna,Bagerhat,"Rampal, Mongla",266864,132350,134510,96,5,187416,107289,72796,Sheikh Faridul Islam,Bangladesh Nationalist Party (BNP),102661,Mohammed Abdul Wadud Sheikh,Bangladesh Jamaat-e-Islami (Jamaat),83550,425,102661,83550,,,3460,,,,,,,,,,,349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bagerhat 4,Khulna,Bagerhat,"Morelganj, Sharankhola",380679,191812,188864,143,6,214393,131231,80381,Md. Abdul Alim,Bangladesh Jamaat-e-Islami (Jamaat),116067,Som Nath De,Bangladesh Nationalist Party (BNP),98326,229,98326,116067,,,8501,1147,,,,,,,,,,315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bandarban 1,Chattogram,Bandarban,Bandarban Hill District,315422,161775,153647,182,4,174770,71417,90156,Saching Prue,Bangladesh Nationalist Party (BNP),141455,Abu Sayeed Md. Suja Uddin,National Citizen Party (NCP),26162,,141455,,26162,,4718,2435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barguna 1,Barishal,Barguna,"Amtali, Taltali, Barguna Sadar",519460,259098,260351,187,4,283649,176197,85820,Md. Ali Ullah,Islami Andolan Bangladesh (IAB),140291,Md. Nazrul Islam Mollah,Bangladesh Nationalist Party (BNP),136145,,136145,,,6232,140291,,,,,,,,,,,,,,,,,981,,,,,,,,,,,,,,,,,,,,,,,,
Barguna 2,Barishal,Barguna,"Patharghata, Bamana, Betagi",337744,167965,169775,114,9,192353,120997,57474,Md. Nurul Islam,Bangladesh Nationalist Party (BNP),90643,Dr. Sultan Ahmad,Bangladesh Jamaat-e-Islami (Jamaat),85247,298,90643,85247,,,16463,1248,,,,,,,115,,,,,,,,,,,,,,,,,219,,,,95,,,,,,,294,,,,,
Barishal 1,Barishal,Barishal,"Agailjhara, Gournadi",328198,165364,162834,129,5,146815,112208,73989,Zahir Uddin Swapon,Bangladesh Nationalist Party (BNP),100552,Md. Kamrul Islam Khan,Bangladesh Jamaat-e-Islami (Jamaat),46263,44188,100552,46263,,,6846,,,,,,,,,,,,,,,,,1736,,,,,,,,,,,,,,,,,,,,,,,,
Barishal 2,Barishal,Barishal,"Uzirpur, Banaripara",385807,196262,189544,136,8,215704,134278,80966,Sardar Sarfuddin Ahmed,Bangladesh Nationalist Party (BNP),141622,Abdul Mannan,Bangladesh Jamaat-e-Islami (Jamaat),74082,,141622,74082,,,6021,1199,,700,,,,,,,,135,,,,,,2329,,,,,,,,,,,,185,,,,,,,,,,,,
Barishal 3,Barishal,Barishal,"Babuganj, Muladi",332097,167921,164173,124,6,142122,122305,40636,Zainul Abedin,Bangladesh Nationalist Party (BNP),80930,Mohammad Asaduzzaman Bhuiyan,Amar Bangladesh Party (AB),61192,,80930,,,,16325,14184,,860,,,61192,,,,,,214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barishal 4,Barishal,Barishal,"Hijla, Mehendiganj",421975,217942,204030,149,5,203006,143900,64511,Md. Rajib Ahsan,Bangladesh Nationalist Party (BNP),128322,Mohammad Abdul Jabbar,Bangladesh Jamaat-e-Islami (Jamaat),74684,,128322,74684,,,36753,,,,,,,,,,,334,,,,,,,,,,,,,,,,,,,,,,413,,,,,,,,
Barishal 5,Barishal,Barishal,"Barisal Sadar, Barisal City Corporation",501304,250680,250615,176,6,230190,176687,69394,Md. Mojibur Rahman Sarwar,Bangladesh Nationalist Party (BNP),135146,Mufti Syed Md. Faizul Karim,Islami Andolan Bangladesh (IAB),95044,,135146,,,,95044,909,,,,,,,,,,,22486,,,,,,,,,,300,,,,,,,494,,,,,,,,,,,,
Barishal 6,Barishal,Barishal,Bakerganj,315597,160055,155538,113,6,138205,0,0,Abul Hossain Khan,Bangladesh Nationalist Party (BNP),82217,Md. Mahmudun Nabi,Bangladesh Jamaat-e-Islami (Jamaat),55988,366,82217,55988,,,29146,,,139,,,,,,,,,,,,,,,,,,,,,244,,,,,,,,,,,,,,,,,
Bhola 1,Barishal,Bhola,Bhola Sadar,406567,210087,196475,114,8,180880,143473,44731,Andaleeve Rahman,Bangladesh Jatiya Party (BJP),105543,Md. Nazrul Islam,Bangladesh Jamaat-e-Islami (Jamaat),75337,134,,75337,,,25245,599,303,1103,,,,,105543,,,,,,,,,,,,,,,,,,,,,217,,,,,,,,,,,,
Bhola 2,Barishal,Bhola,"Daulatkhan, Borhanuddin",395546,206433,189112,138,8,212788,135846,47916,Md. Hafiz Ibrahim,Bangladesh Nationalist Party (BNP),119085,Mohammad Fazlul Karim,Bangladesh Jamaat-e-Islami (Jamaat),93703,1433,119085,93703,,,,450,,,,381,,,,,,,,,,,,,,,,,,,,,,,370,,,,,,,,,,,,,
Bhola 3,Barishal,Bhola,"Tajumuddin, Lalmohan",388550,200497,188050,119,6,203341,122940,56607,"Hafiz Uddin Ahmed, Bir Bikram",Bangladesh Nationalist Party (BNP),145990,Muha: Nizamul Haque,Bangladesh Development Party (BDP),57351,508,145990,,,,7255,789,,260,,,,57351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
