seat_name,candidate,party,votes
Bagerhat 1,A. Sabur Sheikh,Bangladesh Muslim League (BML),0
Bagerhat 1,Kapil Krishna Mandal,Bangladesh Nationalist Party (BNP),114323
Bagerhat 1,M. A. H. Selim,Independent Candidate (Independent),0
Bagerhat 1,M. D. Shamsul Haque,Bangladesh Muslim League (BML),0
Bagerhat 1,Md. Aminul Islam,Amar Bangladesh Party (AB),0
Bagerhat 1,Md. Mashiur Rahman Khan,Bangladesh Jamaat-e-Islami (Jamaat),117527
Bagerhat 1,Md. Sheikh Masud Rana,Independent Candidate (Independent),0
Bagerhat 1,S. M. Golam Sorrowar,Jatiya Party (JaPa),0
Bagerhat 2,M. A. H. Selim,Independent Candidate (Independent),0
Bagerhat 2,Sheikh Atiyar Rahman,Islami Andolan Bangladesh (IAB),0
Bagerhat 2,Sheikh Manjurul Haque,Bangladesh Jamaat-e-Islami (Jamaat),117709
Bagerhat 2,Sheikh Md. Zakir Hossain,Bangladesh Nationalist Party (BNP),66409
Bagerhat 3,M. A. H. Selim,Independent Candidate (Independent),0
Bagerhat 3,Md. Habibur Rahman Master,Jatiya Samajtantrik Dal (JSD),0
Bagerhat 3,Mohammed Abdul Wadud Sheikh,Bangladesh Jamaat-e-Islami (Jamaat),83705
Bagerhat 3,Sheikh Faridul Islam,Bangladesh Nationalist Party (BNP),103711
Bagerhat 3,Sheikh Zillur Rahman,Islami Andolan Bangladesh (IAB),0
Bagerhat 4,Kazi Khairuzzaman,Independent Candidate (Independent),0
Bagerhat 4,Md. A. Latif Khan,Jatiya Samajtantrik Dal (JSD),0
Bagerhat 4,Md. Abdul Alim,Bangladesh Jamaat-e-Islami (Jamaat),116067
Bagerhat 4,Md. Omar Farooq,Islami Andolan Bangladesh (IAB),0
Bagerhat 4,Sajan Kumar Mistry,Jatiya Party (JaPa),0
Bagerhat 4,Somnath Dey,Bangladesh Nationalist Party (BNP),98326
Bandarban 1,Abu Jafar Md. Wali Ullah,Jatiya Party (JaPa),2435
Bandarban 1,Abu Saeed Md. Sujauddin,National Citizen Party (NCP),26162
