seat_name,candidate,party,votes
Barguna 1,Md. Oli Ullah,Islami Andolan Bangladesh (IAB),140291
Barguna 1,Md. Nazrul Islam Mollah,Bangladesh Nationalist Party (BNP),136145
Barguna 1,Md. Jahangir Hossain,Khelafat Majlis,6232
Barguna 1,Md. Jamal Hossain,Jatiya Party (JaPa),981
Barguna 2,Md. Nurul Islam,Bangladesh Nationalist Party (BNP),90643
Barguna 2,Dr. Sultan Ahmed,Bangladesh Jamaat-e-Islami (Jamaat),85247
Barguna 2,Md. Mizanur Rahman,Islami Andolan Bangladesh (IAB),16463
Barguna 2,Abdul Latif Farazi,Jatiya Party (JaPa),1248
Barguna 2,Md. Rashed Ud Zaman,Independent Candidate (Independent),298
Barguna 2,Syed Md. Najesh Afroz,Nationalist Democratic Movement (NDM),294
Barguna 2,Md. Sabbir Ahmed,Bangladesh Congress,219
Barguna 2,Md. Kamruzzaman Liton,Bangladesh Jatiya Party (BJP),115
Barguna 2,Md. Solaiman,National People's Party (NPP),95
Patuakhali 1,Altaf Hossain Chowdhury,Bangladesh Nationalist Party (BNP),152087
Patuakhali 1,Md. Firoz Alam,Islami Andolan Bangladesh (IAB),58161
Patuakhali 1,Mohammad Abdul Wahab,Amar Bangladesh Party (AB),46310
Patuakhali 1,Gautam Chandra Shil,Jatiya Samajtantrik Dal (JSD),1334
Patuakhali 1,Abdul Mannan Hawladar,Jatiya Party (JaPa),1055
Patuakhali 1,Md. Shahidul Islam Fahim,Gono Odhikar Parishad (GOP),347
Patuakhali 2,Md. Shafiqul Islam,Bangladesh Jamaat-e-Islami (Jamaat),100750
Patuakhali 2,Md. Shahidul Alam Talukder,Bangladesh Nationalist Party (BNP),72676
Patuakhali 2,Malek Hossain,Islami Andolan Bangladesh (IAB),14418
Patuakhali 2,Md. Ruhul Amin,Amar Bangladesh Party (AB),410
Patuakhali 2,Md. Habibur Rahman,Gono Odhikar Parishad (GOP),353
Patuakhali 3,Md. Nurul Haque,Gono Odhikar Parishad (GOP),97323
Patuakhali 3,Md. Hasan Mamun,Independent Candidate (Independent),81361
Patuakhali 3,Md. Abu Bakkar Siddiqui,Islami Andolan Bangladesh (IAB),38188
Patuakhali 3,Mohammad Shah Alam,Bangladesh Jamaat-e-Islami (Jamaat),16255
Patuakhali 3,S. M. Fazlul Haque,Independent Candidate (Independent),978
Patuakhali 4,A. B. M. Mosharraf Hossain,Bangladesh Nationalist Party (BNP),124013
Patuakhali 4,Mostafizur Rahman,Islami Andolan Bangladesh (IAB),70124
Patuakhali 4,Dr. Jahir Uddin Ahmed,Khelafat Majlis,14985
Patuakhali 4,Md. Rabiul Hasan,Gono Odhikar Parishad (GOP),202
Bhola 1,Andaleeb Rahman,Bangladesh Jatiya Party (BJP),105543
Bhola 1,Md. Nazrul Islam,Bangladesh Jamaat-e-Islami (Jamaat),63352
Bhola 1,Md. Obaidur Rahman,Islami Andolan Bangladesh (IAB),25245
Bhola 1,Md. Ainur Rahman (Jewel) Mia,Gono Odhikar Parishad (GOP),1103
Bhola 1,Md. Akbar Hossain,Jatiya Party (JaPa),599
Bhola 1,Mohammad Ashraf Ali,Bangladesh Islami Front (BIF),303
Bhola 1,Md. Mizanur Rahman,National People's Party (NPP),217
Bhola 1,Rafizul Hossain,Independent Candidate (Independent),134
Bhola 2,Md. Hafiz Ibrahim,Bangladesh Nationalist Party (BNP),119085
Bhola 2,Mohammad Fazlul Karim,Bangladesh Jamaat-e-Islami (Jamaat),93703
Bhola 2,Md. Zakir Hossain Khandakar,Independent Candidate (Independent),596
Bhola 2,Mahibullah Khokon,Independent Candidate (Independent),546
Bhola 2,Advocate Md. Jahangir Alam Ritu,Jatiya Party (JaPa),450
Bhola 2,Mokfar Uddin Chowdhury,Bangladesh Liberal Democratic Party (LDP),381
Bhola 2,Md. Ala Uddin,Amjanatar Dol,370
Bhola 2,Taslima Begum,Independent Candidate (Independent),291
Bhola 3,"Hafiz Uddin Ahmed, Bir Bikram",Bangladesh Nationalist Party (BNP),145990
Bhola 3,Md. Nizamul Haque,Bangladesh Development Party (BDP),57351
Bhola 3,Md. Mosleh Uddin,Islami Andolan Bangladesh (IAB),7255
Bhola 3,Md. Kamal Uddin,Jatiya Party (JaPa),789
Bhola 3,Md. Rahmatullah,Independent Candidate (Independent),508
Bhola 3,Md. Abu Taiyab,Gono Odhikar Parishad (GOP),260
Bhola 4,Mohammad Nurul Islam,Bangladesh Nationalist Party (BNP),189351
Bhola 4,Mohammad Mostafa Kamal,Bangladesh Jamaat-e-Islami (Jamaat),81437
Bhola 4,Abul Mokarram Md. Kamal Uddin,Islami Andolan Bangladesh (IAB),24935
Bhola 4,Md. Mizanur Rahman,Jatiya Party (JaPa),585
Bhola 4,Mohammad Rafiqul Islam,Independent Candidate (Independent),235
Bhola 4,Abul Kalam,Nationalist Democratic Movement (NDM),208
Bhola 4,Md. Jalal Uddin Rumi,Amjanatar Dol,176
Barishal 1,Zahir Uddin Swapan,Bangladesh Nationalist Party (BNP),100552
Barishal 1,Md. Kamrul Islam Khan,Bangladesh Jamaat-e-Islami (Jamaat),46263
Barishal 1,Abdus Sobhan,Independent Candidate (Independent),44188
Barishal 1,Md. Rasel Sardar,Islami Andolan Bangladesh (IAB),6846
Barishal 1,Sher-e-Niabath Sekendar Ali,Jatiya Party (JaPa),1736
Barishal 2,Sardar Sarfuddin Ahmed,Bangladesh Nationalist Party (BNP),141622
Barishal 2,Abdul Mannan,Bangladesh Jamaat-e-Islami (Jamaat),74082
Barishal 2,Mohammad Nesar Uddin,Islami Andolan Bangladesh (IAB),6021
Barishal 2,A. Haque,Jatiya Party (JaPa),2329
Barishal 2,M. A. Jalil,Jatiya Party (JaPa),1199
Barishal 2,Ranjit Kumar Barai,Gono Odhikar Parishad (GOP),700
Barishal 2,Saheb Ali,National People's Party (NPP),185
Barishal 2,Md. Abul Kalam Azad,Jatiya Samajtantrik Dal (JSD),135
Barishal 3,Zainul Abedin,Bangladesh Nationalist Party (BNP),80930
Barishal 3,Mohammad Asaduzzaman Bhuiyan,Amar Bangladesh Party (AB),61192
Barishal 3,Muhammad Sirajul Islam,Islami Andolan Bangladesh (IAB),16325
Barishal 3,Golam Kibria Tipu,Jatiya Party (JaPa),14184
Barishal 3,Yamin H. M. Fardin,Gono Odhikar Parishad (GOP),860
Barishal 3,Md. Azmul Hasan Jihad,Bangladesh Samajtantrik Dal (Basad),214
Barishal 4,Md. Rajib Ahsan,Bangladesh Nationalist Party (BNP),128322
Barishal 4,Mohammad Abdul Jabbar,Bangladesh Jamaat-e-Islami (Jamaat),74684
Barishal 4,Syed Eshaq Md. Abul Khayer,Islami Andolan Bangladesh (IAB),36753
Barishal 4,Abdul Jalil,Bangladesh Sangskritik Muktijote (BSM),413
Barishal 4,Abdus Salam (Khokon),Jatiya Samajtantrik Dal (JSD),334
Barishal 5,Md. Mojibur Rahman Sarwar,Bangladesh Nationalist Party (BNP),135146
Barishal 5,Mufti Syed Md. Fayzul Karim,Islami Andolan Bangladesh (IAB),95044
Barishal 5,Monisha Chakraborty,Bangladesh Samajtantrik Dal (Basad),22486
Barishal 5,Akhtar Rahman,Jatiya Party (JaPa),909
Barishal 5,Abdul Hannan Sikder,National People's Party (NPP),494
Barishal 5,Md. Saidur Rahman,Socialist Party of Bangladesh (Marxist) (SPB-M),300
Barishal 6,Abul Hossain Khan,Bangladesh Nationalist Party (BNP),82217
Barishal 6,Md. Mahmudunnabi,Bangladesh Jamaat-e-Islami (Jamaat),55988
Barishal 6,Mufti Syed Md. Fayzul Karim,Islami Andolan Bangladesh (IAB),29146
Barishal 6,Md. Kamrul Islam Khan,Independent Candidate (Independent),366
Barishal 6,Abdul Quddus,Bangladesh Muslim League (BML),244
Barishal 6,Md. Salauddin Mia,Gono Odhikar Parishad (GOP),139
Jhalokathi 1,Rafiqul Islam Jamal,Bangladesh Nationalist Party (BNP),62010
Jhalokathi 1,Foyzul Haque,Bangladesh Jamaat-e-Islami (Jamaat),55120
Jhalokathi 1,Ibrahim,Islami Andolan Bangladesh (IAB),7744
Jhalokathi 1,Md. Rubel Howladar,Jatiya Party (JaPa),2562
Jhalokathi 1,M. Main Alam Firozi,Jatiya Party (JaPa),593
Jhalokathi 1,Md. Sabbir Ahmed,Jatiya Party (JaPa),345
Jhalokathi 1,Md. Kamruzzaman Khan,Jatiya Party (JaPa),321
Jhalokathi 1,Md. Shahadat Hossain,Gono Odhikar Parishad (GOP),132
Jhalokathi 1,Md. Sohrab Hossain,Jatiya Samajtantrik Dal (JSD),110
Jhalokathi 1,Md. Jasim Uddin Talukdar,Janotar Dol,63
Jhalokathi 2,Israt Sultana Elen Bhutto,Bangladesh Nationalist Party (BNP),113419
Jhalokathi 2,S. M. Niamul Karim,Bangladesh Jamaat-e-Islami (Jamaat),70556
