seat,rule,merged_name,merged_source,merged_party,merged_votes,into_name,into_sources,into_party,into_votes,similarity,note
Bagerhat 1,1,S. M. Golam Sorrowar,ds,Jatiya Party (JaPa),ds=0,S. M. Golam Sarwar,tbs,Jatiya Party (JaPa),tbs=571,0.95,name+party match (sim=0.95)
Bagerhat 1,1,S. M. Golam Sarwar,dt,Jatiya Party (JaPa),dt=571,S. M. Golam Sorrowar,"ds,tbs",Jatiya Party (JaPa),ds=0; tbs=571,0.95,name+party match (sim=0.95) [vote-boosted]
Bagerhat 1,1,M. D. Shamsul Haque,ds,Bangladesh Muslim League (BML),ds=0,M. D. Shamsul Haque,tbs,Bangladesh Muslim League (BML),tbs=242,1.00,name+party match (sim=1.00)
Bagerhat 1,1,M. D. Shamsul Haque,dt,Bangladesh Muslim League (BML),dt=242,M. D. Shamsul Haque,"ds,tbs",Bangladesh Muslim League (BML),ds=0; tbs=242,1.00,name+party match (sim=1.00) [vote-boosted]
Bagerhat 1,1,Kapil Krishna Mandal,ds,Bangladesh Nationalist Party (BNP),ds=114323,Kapil Krishna Mondal,tbs,Bangladesh Nationalist Party (BNP),tbs=114323,1.00,name+party match (sim=1.00) [vote-boosted]
Bagerhat 1,1,Kapil Krishna Mandal,bss,Bangladesh Nationalist Party (BNP),bss=114323,Kapil Krishna Mondal,"ds,tbs",Bangladesh Nationalist Party (BNP),ds=114323; tbs=114323,1.00,name+party match (sim=1.00) [vote-boosted]
Bagerhat 1,1,Kapil Krishna Mondol,dt,Bangladesh Nationalist Party (BNP),dt=114323,Kapil Krishna Mondal,"bss,ds,tbs",Bangladesh Nationalist Party (BNP),bss=114323; ds=114323; tbs=114323,1.00,name+party match (sim=1.00) [vote-boosted]
Bagerhat 1,1,A. Sabur Sheikh,ds,Bangladesh Muslim League (BML),ds=0,A. Sabur Sheikh,tbs,Bangladesh Muslim League (BML),tbs=167,1.00,name+party match (sim=1.00)
Bagerhat 1,1,A. Sabur Sheikh,dt,Bangladesh Muslim League (BML),dt=167,A. Sabur Sheikh,"ds,tbs",Bangladesh Muslim League (BML),ds=0; tbs=167,1.00,name+party match (sim=1.00) [vote-boosted]
Bagerhat 1,1,Md. Aminul Islam,ds,Amar Bangladesh Party (AB),ds=0,Md. Aminul Islam,tbs,Amar Bangladesh Party (AB),tbs=291,1.00,name+party match (sim=1.00)
