seat_name,candidate,party,votes
Panchagarh 1,Nazmul Haque Pradhan,Jatiya Samajtantrik Dal (JSD),3009
Panchagarh 1,Md. Nawshad Zamir,Bangladesh Nationalist Party (BNP),176169
Panchagarh 1,Md. Abdul Wadud,Bangladesh Supreme Party (BSP),1018
Panchagarh 1,Md. Mahfuzar Rahman,Gono Odhikar Parishad (GOP),836
Panchagarh 1,Md. Sarjis Alam,National Citizen Party (NCP),168049
Panchagarh 1,Md. Ferdous Alam,Bangladesh Labour Party,683
Panchagarh 1,Md. Sirajul Islam,Bangladesh Nationalist Front (BNF),261
Panchagarh 2,Farhad Hossain Azad,Bangladesh Nationalist Party (BNP),174650
Panchagarh 2,Mahmud Hossain Sumon,Independent Candidate (Independent),1854
Panchagarh 2,Md. Ashraful Alam,Communist Party of Bangladesh (CPB),935
Panchagarh 2,Mdf.Emran Al Amin,Jatiya Samajtantrik Dal (JSD),953
Panchagarh 2,Md. Kamrul Hasan Pradhan,Islami Andolan Bangladesh (IAB),4391
Panchagarh 2,Md. Delwar Hossain,Bangladesh Supreme Party (BSP),1352
Panchagarh 2,Lutfur Rahman Ripon,Jatiya Party (JaPa),2152
Panchagarh 2,Md. Shafiul Alam,Bangladesh Jamaat-e-Islami (Jamaat),128862
Thakurgaon 1,Delowar Hossain,Bangladesh Jamaat-e-Islami (Jamaat),141017
Thakurgaon 1,Mirza Fakhrul Islam Alamgir,Bangladesh Nationalist Party (BNP),238836
Thakurgaon 1,Md. Khademul Islam,Islami Andolan Bangladesh (IAB),3851
Thakurgaon 2,Nurunnahar Begum,Jatiya Party (JaPa),2876
Thakurgaon 2,Md. Abdul Hakim,Bangladesh Jamaat-e-Islami (Jamaat),115707
Thakurgaon 2,Md. Abdus Salam,Bangladesh Nationalist Party (BNP),121017
Thakurgaon 2,Md. Nahid Rana,Amar Bangladesh Party (AB),451
Thakurgaon 2,Md. Faruk Hossain,Gono Odhikar Parishad (GOP),1843
