division,district,name,population,quintile_2022,poverty_rate_2022,se_2022,quintile_2010,poverty_rate_2010,se_2010,extreme_poverty_category,poverty_change_2010_2022
Barishal,Barguna,Amtali,211015,Low (Q2),14.9,5.0,Low (Q2),25.8,4.2,Moderate,-10.9
Barishal,Barguna,Bamna,77419,Moderate (Q3),20.2,10.5,Low (Q2),22.9,8.5,High,-2.7
Barishal,Barguna,Barguna Sadar,288426,Moderate (Q3),18.6,3.0,Low (Q2),23.7,4.3,Moderate,-5.1
Barishal,Barguna,Betagi,124379,High (Q4),22.3,10.2,Low (Q2),29.8,4.5,High,-7.5
Barishal,Barguna,Patharghata,175873,High (Q4),23.5,2.2,Very Low (Q1),20.0,5.3,High,3.5
Barishal,Barguna,Taltali,115609,High (Q4),23.3,9.6,Low (Q2),25.7,5.9,High,-2.4
Barishal,Barishal,Agailjhara,153523,High (Q4),24.9,4.7,High (Q4),42.7,5.5,High,-17.8
Barishal,Barishal,Babuganj,150640,Low (Q2),13.7,5.0,Very High (Q5),51.9,12.1,Moderate,-38.2
Barishal,Barishal,Bakerganj,346151,High (Q4),27.1,3.4,Very High (Q5),61.1,5.7,High,-34.0
Barishal,Barishal,Banaripara,167200,Very High (Q5),38.4,4.1,Very High (Q5),59.9,5.1,High,-21.5
Barishal,Barishal,Gaurnadi,202870,Very High (Q5),33.3,4.0,Very High (Q5),55.6,3.9,High,-22.3
Barishal,Barishal,Hijla,148102,Very High (Q5),35.7,13.3,Very High (Q5),69.0,9.8,High,-33.3
Barishal,Barishal,Barishal Sadar,617993,Moderate (Q3),18.5,1.4,High (Q4),43.5,2.7,Moderate,-25.0
Barishal,Barishal,Mehendiganj,280553,Moderate (Q3),19.2,3.8,Very High (Q5),68.1,4.4,High,-48.9
Barishal,Barishal,Muladi,178483,Very High (Q5),31.2,5.4,Very High (Q5),64.2,4.9,High,-33.0
Barishal,Barishal,Ujirpur,251110,Very High (Q5),32.2,3.7,Very High (Q5),56.3,10.7,High,-24.1
Barishal,Bhola,Bhola Sadar,434440,Moderate (Q3),20.7,3.3,High (Q4),43.1,4.0,High,-22.4
Barishal,Bhola,Borhanuddin,261842,Very High (Q5),44.2,5.1,Moderate (Q3),39.7,6.4,High,4.5
Barishal,Bhola,Charfasson,514341,Moderate (Q3),19.8,3.3,Low (Q2),31.3,5.4,High,-11.5
Barishal,Bhola,Daulatkhan,180248,Very High (Q5),39.4,5.0,Low (Q2),27.7,4.8,High,11.7
Barishal,Bhola,Lalmohan,292169,High (Q4),23.5,5.7,Low (Q2),30.8,5.1,High,-7.3
