seat_name,BNP_Alliance_TBS,BNP_Alliance_DS,BNP_Diff_TBS_minus_DS,11_Party_TBS,11_Party_DS,11_Party_Diff_TBS_minus_DS
Bogura 6,216284.0,0.0,216284.0,97626.0,0.0,97626.0
Bogura 7,264212.0,158196.0,106016.0,116665.0,0.0,116665.0
Dinajpur 5,98544.0,0.0,98544.0,110195.0,108948.0,1247.0
Netrakona 5,79412.0,0.0,79412.0,82177.0,82177.0,0.0
Kurigram 3,672.0,79352.0,-78680.0,106923.0,107930.0,-1007.0
Jhenaidah 4,77104.0,0.0,77104.0,105999.0,105999.0,0.0
Chandpur 4,69155.0,69155.0,0.0,66692.0,0.0,66692.0
Mymensingh 10,75949.0,75585.0,364.0,66385.0,0.0,66385.0
Brahmanbaria 5,86035.0,85769.0,266.0,60857.0,0.0,60857.0
Rajshahi 2,128546.0,188546.0,-60000.0,101166.0,100370.0,796.0
Khagrachhari 1,151795.0,151040.0,755.0,58545.0,0.0,58545.0
Satkhira 3,56819.0,0.0,56819.0,184233.0,184233.0,0.0
Tangail 8,114727.0,114217.0,510.0,55709.0,0.0,55709.0
Munshiganj 3,124865.0,124691.0,174.0,54750.0,0.0,54750.0
Kishoreganj 5,66450.0,66450.0,0.0,54400.0,0.0,54400.0
Mymensingh 1,101926.0,101926.0,0.0,53496.0,0.0,53496.0
Narsingdi 2,92739.0,92739.0,0.0,109380.0,55920.0,53460.0
Cumilla 2,77037.0,77037.0,0.0,53384.0,0.0,53384.0
Tangail 4,105342.0,105342.0,0.0,50192.0,0.0,50192.0
Mymensingh 6,49476.0,0.0,49476.0,77325.0,77325.0,0.0
Rangpur 2,53626.0,22100.0,31526.0,89456.0,43076.0,46380.0
Narail 2,45802.0,0.0,45802.0,118142.0,118142.0,0.0
Jamalpur 4,147789.0,147406.0,383.0,44947.0,0.0,44947.0
Netrakona 3,118469.0,118469.0,0.0,41556.0,0.0,41556.0
Madaripur 2,61744.0,61744.0,0.0,36169.0,0.0,36169.0
Chattogram 13,126360.0,126192.0,168.0,35030.0,0.0,35030.0
Gopalganj 1,123791.0,123791.0,0.0,34635.0,0.0,34635.0
Tangail 3,82769.0,82769.0,0.0,34588.0,0.0,34588.0
Narsingdi 3,82061.0,82061.0,0.0,30559.0,0.0,30559.0
Gopalganj 2,40353.0,40048.0,305.0,28604.0,0.0,28604.0
Cumilla 7,48509.0,48509.0,0.0,26319.0,0.0,26319.0
Mymensingh 3,75320.0,75320.0,0.0,25706.0,0.0,25706.0
Gopalganj 3,63591.0,60991.0,2600.0,25153.0,0.0,25153.0
Mymensingh 11,111621.0,111230.0,391.0,22195.0,0.0,22195.0
Chattogram 6,113066.0,112237.0,829.0,22118.0,0.0,22118.0
Chattogram 12,135044.0,135044.0,0.0,21824.0,0.0,21824.0
Brahmanbaria 2,0.0,0.0,0.0,20401.0,0.0,20401.0
Sunamganj 3,97313.0,97313.0,0.0,19377.0,0.0,19377.0
Dhaka 20,162504.0,162504.0,0.0,67534.0,57787.0,9747.0
Lalmonirhat 2,118359.0,123946.0,-5587.0,107886.0,117252.0,-9366.0
Sylhet 4,181609.0,186846.0,-5237.0,65776.0,71391.0,-5615.0
Dinajpur 2,139622.0,144317.0,-4695.0,105933.0,101831.0,4102.0
Jamalpur 1,172115.0,173656.0,-1541.0,93661.0,97820.0,-4159.0
Barishal 2,142322.0,141622.0,700.0,78082.0,74082.0,4000.0
Sylhet 6,108612.0,109917.0,-1305.0,97748.0,101569.0,-3821.0
Chattogram 8,152969.0,152969.0,0.0,56913.0,53564.0,3349.0
Sylhet 1,177250.0,173932.0,3318.0,134983.0,134983.0,0.0
Madaripur 1,67550.0,64524.0,3026.0,64978.0,64909.0,69.0
Dhaka 7,104666.0,104666.0,0.0,101266.0,98483.0,2783.0
Naogaon 2,134533.0,134533.0,0.0,144206.0,141526.0,2680.0
Sunamganj 5,151915.0,151915.0,0.0,104399.0,102121.0,2278.0
Narayanganj 3,156552.0,155400.0,1152.0,137017.0,134918.0,2099.0
Sirajganj 1,116302.0,116613.0,-311.0,106732.0,108815.0,-2083.0
Cox's Bazar 2,125740.0,124660.0,1080.0,91889.0,89817.0,2072.0
Cumilla 5,134485.0,134485.0,0.0,126576.0,124547.0,2029.0
Rangpur 4,140564.0,139616.0,948.0,149966.0,147947.0,2019.0
Dhaka 19,190976.0,190976.0,0.0,125283.0,123283.0,2000.0
Dinajpur 6,205118.0,203887.0,1231.0,190703.0,188719.0,1984.0
Kurigram 4,83762.0,84423.0,-661.0,106347.0,108210.0,-1863.0
Thakurgaon 2,122860.0,121017.0,1843.0,116158.0,115707.0,451.0
Kushtia 3,127858.0,126909.0,949.0,182476.0,180690.0,1786.0
Narayanganj 5,116465.0,114799.0,1666.0,101196.0,101196.0,0.0
Dhaka 12,32589.0,30963.0,1626.0,53773.0,53773.0,0.0
Dinajpur 3,140608.0,139207.0,1401.0,136239.0,134618.0,1621.0
Nilphamari 1,0.0,0.0,0.0,150824.0,149224.0,1600.0
Nilphamari 2,135418.0,134579.0,839.0,146781.0,145202.0,1579.0
Dinajpur 4,166717.0,165577.0,1140.0,129056.0,127666.0,1390.0
Nilphamari 4,82086.0,81526.0,560.0,126222.0,124865.0,1357.0
Moulvibazar 4,170877.0,169608.0,1269.0,50204.0,49189.0,1015.0
Sylhet 2,116697.0,117956.0,-1259.0,37446.0,38635.0,-1189.0
Rangpur 6,117703.0,116919.0,784.0,120128.0,118890.0,1238.0
Rangpur 5,115116.0,114141.0,975.0,176411.0,175208.0,1203.0
Sylhet 3,114255.0,115450.0,-1195.0,73614.0,73614.0,0.0
Sunamganj 1,161774.0,161774.0,0.0,94150.0,92966.0,1184.0
Bogura 5,248841.0,248841.0,0.0,144463.0,143329.0,1134.0
Nilphamari 3,89807.0,89102.0,705.0,109686.0,108560.0,1126.0
Feni 2,131619.0,131210.0,409.0,81182.0,80058.0,1124.0
Faridpur 4,127443.0,127443.0,0.0,76923.0,75805.0,1118.0
Satkhira 4,85426.0,84868.0,558.0,106913.0,105805.0,1108.0
Bhola 1,1103.0,0.0,1103.0,75337.0,75337.0,0.0
Rajshahi 1,170309.0,169902.0,407.0,172886.0,171786.0,1100.0
Jamalpur 3,208467.0,207412.0,1055.0,81430.0,81430.0,0.0
Bagerhat 3,102661.0,103711.0,-1050.0,83550.0,83705.0,-155.0
Chattogram 9,110428.0,109388.0,1040.0,53807.0,53807.0,0.0
Sherpur 2,118472.0,118472.0,0.0,109373.0,108335.0,1038.0
Rajshahi 6,148672.0,147672.0,1000.0,92965.0,92965.0,0.0
Gaibandha 3,139864.0,139864.0,0.0,162457.0,163457.0,-1000.0
Pabna 3,145192.0,144206.0,986.0,147475.0,147465.0,10.0
Kishoreganj 4,132472.0,132472.0,0.0,58708.0,57829.0,879.0
Dhaka 5,87584.0,87491.0,93.0,97510.0,96641.0,869.0
Barishal 3,81790.0,80930.0,860.0,61192.0,61192.0,0.0
