seat_name,division,district,party,candidate,votes
Bagerhat 1,Khulna,Bagerhat,Bangladesh Muslim League (BML),A. Sabur Sheikh,-
Bagerhat 1,Khulna,Bagerhat,Bangladesh Nationalist Party (BNP),Kapil Krishna Mandal,114323.0
Bagerhat 1,Khulna,Bagerhat,Independent Candidate (Independent),M. A. H. Selim,-
Bagerhat 1,Khulna,Bagerhat,Bangladesh Muslim League (BML),M.D. Shamsul Haque,-
Bagerhat 1,Khulna,Bagerhat,Amar Bangladesh Party (AB),Md. Aminul Islam,-
Bagerhat 1,Khulna,Bagerhat,Bangladesh Jamaat-e-Islami (Jamaat),Md. Mashiur Rahman Khan,117527.0
Bagerhat 1,Khulna,Bagerhat,Independent Candidate (Independent),Md. Sheikh Masud Rana,-
Bagerhat 1,Khulna,Bagerhat,Jatiya Party (JaPa),S. M. Golam Sorrowar,-
Bagerhat 2,Khulna,Bagerhat,Independent Candidate (Independent),M. A. H. Selim,-
Bagerhat 2,Khulna,Bagerhat,Islami Andolan Bangladesh (IAB),Sheikh Atiyar Rahman,-
Bagerhat 2,Khulna,Bagerhat,Bangladesh Jamaat-e-Islami (Jamaat),Sheikh Manjurul Haque (Rahad),117709.0
Bagerhat 2,Khulna,Bagerhat,Bangladesh Nationalist Party (BNP),Sheikh Mohammad Zakir Hossain,66409.0
Bagerhat 3,Khulna,Bagerhat,Independent Candidate (Independent),M. A. H. Selim,-
Bagerhat 3,Khulna,Bagerhat,Jatiya Samajtantrik Dal-JASAD,Md. Habibur Rahman Master,-
Bagerhat 3,Khulna,Bagerhat,Bangladesh Jamaat-e-Islami (Jamaat),Mohammed Abdul Wadud Sheikh,83705.0
Bagerhat 3,Khulna,Bagerhat,Bangladesh Nationalist Party (BNP),Sheikh Faridul Islam,103711.0
Bagerhat 3,Khulna,Bagerhat,Islami Andolan Bangladesh (IAB),Sheikh Zillur Rahman,-
Bagerhat 4,Khulna,Bagerhat,Independent Candidate (Independent),Kazi Khairuzzaman (Shipan),-
Bagerhat 4,Khulna,Bagerhat,Jatiya Samajtantrik Dal-JASAD,Md. A. Latif Khan,-
Bagerhat 4,Khulna,Bagerhat,Bangladesh Jamaat-e-Islami (Jamaat),Md. Abdul Alim,116067.0
Bagerhat 4,Khulna,Bagerhat,Islami Andolan Bangladesh (IAB),Md. Omar Farooq,-
Bagerhat 4,Khulna,Bagerhat,Jatiya Party (JaPa),Sajan Kumar Mistry,-
Bagerhat 4,Khulna,Bagerhat,Bangladesh Nationalist Party (BNP),Somnath Dey,98326.0
Bandarban 1,Chattogram,Bandarban,Jatiya Party (JaPa),Abu Jafar Mohammad Wali Ullah,2435.0
Bandarban 1,Chattogram,Bandarban,National Citizen Party (NCP),Abu Saeed Md. Sujauddin,26162.0
Bandarban 1,Chattogram,Bandarban,Islami Andolan Bangladesh (IAB),Md. Abul Kalam Azad,4718.0
Bandarban 1,Chattogram,Bandarban,Bangladesh Nationalist Party (BNP),Saching Prue,141455.0
Barguna 1,Barisal,Barguna,Islami Andolan Bangladesh (IAB),Md. Ali Ullah,140291.0
Barguna 1,Barisal,Barguna,Khelafat Majlis,Md. Jahangir Hossain,6232.0
Barguna 1,Barisal,Barguna,Jatiya Party (JaPa),Md. Jamal Hossain,981.0
Barguna 1,Barisal,Barguna,Bangladesh Nationalist Party (BNP),Md. Nazrul Islam Molla,136145.0
Barguna 2,Barisal,Barguna,Jatiya Party (JaPa),Abdul Latif Farazi,-
Barguna 2,Barisal,Barguna,Bangladesh Jamaat-e-Islami (Jamaat),Dr. Sultan Ahmed,85247.0
Barguna 2,Barisal,Barguna,Bangladesh Jatiya Party (BJP),Md. Kamruzzaman Liton,-
Barguna 2,Barisal,Barguna,Islami Andolan Bangladesh (IAB),Md. Mizanur Rahman,16463.0
Barguna 2,Barisal,Barguna,Bangladesh Nationalist Party (BNP),Md. Nurul Islam,90643.0
Barguna 2,Barisal,Barguna,Independent Candidate (Independent),Md. Rashed Ud Zaman,-
Barguna 2,Barisal,Barguna,Bangladesh Congress,Md. Sabbir Ahmed,-
Barguna 2,Barisal,Barguna,National People's Party (NPP),Md. Solaiman,-
Barguna 2,Barisal,Barguna,Nationalist Democratic Movement (NDM),Syed Md. Nazis Afroz,-
Barishal 1,Barisal,Barishal,Independent Candidate (Independent),Abdus Sobhan,-
Barishal 1,Barisal,Barishal,Bangladesh Jamaat-e-Islami (Jamaat),Md. Kamrul Islam Khan,46263.0
Barishal 1,Barisal,Barishal,Islami Andolan Bangladesh (IAB),Md. Russell Sardar,-
Barishal 1,Barisal,Barishal,Jatiya Party (JaPa),Sernabiat Sekandar Ali,-
Barishal 1,Barisal,Barishal,Bangladesh Nationalist Party (BNP),Zahir Uddin Swapan,100552.0
Barishal 2,Barisal,Barishal,Jatiya Party (JaPa),A. A. Jalil,-
Barishal 2,Barisal,Barishal,Jatiya Party (JaPa),A. Haq,-
Barishal 2,Barisal,Barishal,Bangladesh Jamaat-e-Islami (Jamaat),Abdul Mannan,74082.0
