seat_name,party,candidate,votes
Barguna 1,Islami Andolan Bangladesh (IAB),Md. Oli Ullah,140291
Barguna 1,Bangladesh Nationalist Party (BNP),Md. Nazrul Islam Mollah,136145
Barguna 1,Khelafat Majlis,Md. Jahangir Hossain,6232
Barguna 1,Jatiya Party (JaPa),Md. Jamal Hossain,981
Barguna 2,Bangladesh Nationalist Party (BNP),Md. Nurul Islam,90643
Barguna 2,Bangladesh Jamaat-e-Islami (Jamaat),Dr. Sultan Ahmed,85247
Barguna 2,Islami Andolan Bangladesh (IAB),Md. Mizanur Rahman,16463
Barguna 2,Jatiya Party (JaPa),Abdul Latif Farazi,1248
Barguna 2,Independent Candidate (Independent),Md. Rashed Ud Zaman,298
Barguna 2,Nationalist Democratic Movement (NDM),Syed Md. Najesh Afroz,294
Barguna 2,Bangladesh Congress,Md. Sabbir Ahmed,219
Barguna 2,Bangladesh Jatiya Party (BJP),Md. Kamruzzaman Liton,115
Barguna 2,National People's Party (NPP),Md. Solaiman,95
Patuakhali 1,Bangladesh Nationalist Party (BNP),Altaf Hossain Chowdhury,152087
Patuakhali 1,Islami Andolan Bangladesh (IAB),Md. Firoz Alam,58161
Patuakhali 1,Amar Bangladesh Party (AB),Mohammad Abdul Wahab,46310
Patuakhali 1,Bangladesh Jatiya Samajtantrik Dal (Bangladesh JaSad),Gautam Chandra Shil,1334
Patuakhali 1,Jatiya Party (JaPa),Abdul Mannan Hawladar,1055
Patuakhali 1,Gono Odhikar Parishad (GOP),Md. Shahidul Islam Fahim,347
Patuakhali 2,Bangladesh Jamaat-e-Islami (Jamaat),Md. Shafiqul Islam,100750
Patuakhali 2,Bangladesh Nationalist Party (BNP),Md. Shahidul Alam Talukder,72676
Patuakhali 2,Islami Andolan Bangladesh (IAB),Malek Hossain,14418
Patuakhali 2,Amar Bangladesh Party (AB),Md. Ruhul Amin,410
Patuakhali 2,Gono Odhikar Parishad (GOP),Md. Habibur Rahman,353
Patuakhali 3,Gono Odhikar Parishad (GOP),Md. Nurul Haque,97323
Patuakhali 3,Independent Candidate (Independent),Md. Hasan Mamun,81361
Patuakhali 3,Islami Andolan Bangladesh (IAB),Md. Abu Bakkar Siddiqui,38188
Patuakhali 3,Bangladesh Jamaat-e-Islami (Jamaat),Mohammad Shah Alam,16255
Patuakhali 3,Independent Candidate (Independent),S. M. Fazlul Haque,978
Patuakhali 4,Bangladesh Nationalist Party (BNP),A. B. M. Mosharraf Hossain,124013
Patuakhali 4,Islami Andolan Bangladesh (IAB),Mostafizur Rahman,70124
Patuakhali 4,Khelafat Majlis,Dr. Jahir Uddin Ahmed,14985
Patuakhali 4,Gono Odhikar Parishad (GOP),Md. Rabiul Hasan,202
Bhola 1,Bangladesh Jatiya Party (BJP),Andaleeb Rahman,105543
Bhola 1,Bangladesh Jamaat-e-Islami (Jamaat),Md. Nazrul Islam,63352
Bhola 1,Islami Andolan Bangladesh (IAB),Md. Obaidur Rahman,25245
Bhola 1,Gono Odhikar Parishad (GOP),Md. Ainur Rahman (Jewel) Mia,1103
Bhola 1,Jatiya Party (JaPa),Md. Akbar Hossain,599
Bhola 1,Islamic Front Bangladesh (IFB),Mohammad Ashraf Ali,303
Bhola 1,National People's Party (NPP),Md. Mizanur Rahman,217
Bhola 1,Independent Candidate (Independent),Rafizul Hossain,134
