seat_number,seat_name,winner_name,winner_party,winner_votes,runner_name,runner_party,runner_votes
1,Panchagarh 1,Muhammad Naushad Zamir,Bangladesh Nationalist Party (BNP),176169,Md. Sarjis Alam,National Citizen Party (NCP),168049
2,Panchagarh 2,Farhad Hossain Azad,Bangladesh Nationalist Party (BNP),174650,Md. Safiul Alam,Bangladesh Jamaat-e-Islami (Jamaat),128862
3,Thakurgaon 1,Mirza Fakhrul Islam Alamgir,Bangladesh Nationalist Party (BNP),238836,Delawar Hossain,Bangladesh Jamaat-e-Islami (Jamaat),141017
4,Thakurgaon 2,Md. Abdus Salam,Bangladesh Nationalist Party (BNP),121017,Md. Abdul Hakim,Bangladesh Jamaat-e-Islami (Jamaat),115707
5,Thakurgaon 3,Md. Zahidur Rahman,Bangladesh Nationalist Party (BNP),132797,Md. Mizanur Rahman,Bangladesh Jamaat-e-Islami (Jamaat),91934
6,Dinajpur 1,Md. Manjurul Islam,Bangladesh Nationalist Party (BNP),179314,Md. Matiur Rahman,Bangladesh Jamaat-e-Islami (Jamaat),117481
7,Dinajpur 2,Md. Sadiq Riaz,Bangladesh Nationalist Party (BNP),144317,"A, K, M Afzalul Anam",Bangladesh Jamaat-e-Islami (Jamaat),101831
8,Dinajpur 3,Syed Jahangir Alam,Bangladesh Nationalist Party (BNP),139207,Md. Mainul Alam,Bangladesh Jamaat-e-Islami (Jamaat),134618
9,Dinajpur 4,Md. Akhtaruzzaman Mia,Bangladesh Nationalist Party (BNP),165577,Md. Aftab Uddin Mollah,Bangladesh Jamaat-e-Islami (Jamaat),127666
10,Dinajpur 5,"A, Z, M, Rezwanul Haque",Independent Candidate (Independent),113650,Md. Abdul Ahad,National Citizen Party (NCP),108948
11,Dinajpur 6,Abu Zafar Md. Zahid Hossain,Bangladesh Nationalist Party (BNP),203887,Md. Anwarul Islam,Bangladesh Jamaat-e-Islami (Jamaat),188719
12,Nilphamari 1,Md. Abdus Sattar,Bangladesh Jamaat-e-Islami (Jamaat),149224,Maulana Md. Manjurul Islam,Jamiat Ulema-e-Islam Bangladesh (JUIB),118160
13,Nilphamari 2,Alfaruq Abdul Latif,Bangladesh Jamaat-e-Islami (Jamaat),145202,Shahreen Islam,Bangladesh Nationalist Party (BNP),134579
14,Nilphamari 3,Obaidullah Salafi,Bangladesh Jamaat-e-Islami (Jamaat),108560,Alhaj Syed Ali,Bangladesh Nationalist Party (BNP),89102
15,Nilphamari 4,Abdul Muntakim,Bangladesh Jamaat-e-Islami (Jamaat),124865,Md. Abdul Gafur Sarkar,Bangladesh Nationalist Party (BNP),81526
16,Lalmonirhat 1,Md Hasan Rajeev Pradhan,Bangladesh Nationalist Party (BNP),138686,Md. Anwarul Islam Raju,Bangladesh Jamaat-e-Islami (Jamaat),129572
17,Lalmonirhat 2,Md. Rokon Uddin Babul,Bangladesh Nationalist Party (BNP),123946,Md. Feroz Haider,Bangladesh Jamaat-e-Islami (Jamaat),6694
18,Lalmonirhat 3,Asadul Habib Dulu,Bangladesh Nationalist Party (BNP),139657,Md. Abu Taher,Bangladesh Jamaat-e-Islami (Jamaat),56244
19,Rangpur 1,Md Raihan Sirazi,Bangladesh Jamaat-e-Islami (Jamaat),145088,Md Mokarram Hossain Sujan,Bangladesh Nationalist Party (BNP),69407
20,Rangpur 2,ATM Azharul Islam,Bangladesh Jamaat-e-Islami (Jamaat),43076,Muhammad Ali Sarkar,Bangladesh Nationalist Party (BNP),22100
21,Rangpur 3,Md Mahbubur Rahman (Belal),Bangladesh Jamaat-e-Islami (Jamaat),175827,Md. Samsuzzaman Samu,Bangladesh Nationalist Party (BNP),84578
22,Rangpur 4,Akhtar Hossain,National Citizen Party (NCP),147947,Mohammad Emdadul Haque Bharsa,Bangladesh Nationalist Party (BNP),139616
23,Rangpur 5,Md. Golam Rabbani,Bangladesh Jamaat-e-Islami (Jamaat),175208,Md. Golam Rabbani,Bangladesh Nationalist Party (BNP),114141
24,Rangpur 6,Md. Nurul Amin,Bangladesh Jamaat-e-Islami (Jamaat),118890,Md. Saiful Islam,Bangladesh Nationalist Party (BNP),116919
25,Kurigram 1,Md. Anwarul Islam,Bangladesh Jamaat-e-Islami (Jamaat),141090,Saifur Rahman Rana,Bangladesh Nationalist Party (BNP),123025
26,Kurigram 2,Atiqur Rahman Mojahid,National Citizen Party (NCP),178869,Md. Sohail Hosnain Kaykobad,Bangladesh Nationalist Party (BNP),170335
27,Kurigram 3,Md. Mahbubul Alam,Bangladesh Jamaat-e-Islami (Jamaat),106923,Dr. Md. Akkach Ali Sarkar,Islami Andolan Bangladesh (IAB),33380
