seat_name,division,district,total_voters,male_voters,female_voters,hijra_voters,total_votes,top_three_candidates,top_three,bnp_votes,bnp_ratio,jamaat_votes,jamaat_ratio,democracy_platform_votes,democracy_platform_ratio,eleven_party_alliance_votes,eleven_party_alliance_ratio,bnp_alliance_votes,bnp_alliance_ratio,bnp_vs_eleven_party_alliance_votes,bnp_vs_eleven_party_alliance_ratio,Amar Bangladesh Party (AB),Bangladesh Congress,Bangladesh Development Party (BDP),Bangladesh Islami Front (BIF),Bangladesh Jamaat-e-Islami (Jamaat),Bangladesh Jatiya Party (BJP),Bangladesh Jatiya Samajtantrik Dal (Bangladesh JaSad),Bangladesh Khelafat Andolon (BKA),Bangladesh Khelafat Majlish (BKM),Bangladesh Liberal Democratic Party (LDP),Bangladesh Muslim League (BML),Bangladesh Nationalist Front (BNF),Bangladesh Nationalist Party (BNP),Bangladesh Republican Party (BRP),Bangladesh Samajtantrik Dal (Basad),Bangladesh Sangskritik Muktijote (BSM),Communist Party of Bangladesh (CPB),Ganosanhati Andolan (GSA),Gono Odhikar Parishad (GOP),Independent Candidate (Independent),Insaniyat Biplob Bangladesh (IBB),Islami Andolan Bangladesh (IAB),Islamic Front Bangladesh (IFB),Jamiat Ulema-e-Islam Bangladesh (JUIB),Janotar Dol,Jatiya Party (JaPa),Jatiya Party (Manju) (JP–Manju),Khelafat Majlis,National Citizen Party (NCP),Revolutionary Workers Party of Bangladesh (RWPB)
Bagerhat 1,Khulna,Bagerhat,375560.0,190838.0,184720.0,2.0,231850.0,"Md. Mashiur Rahman Khan (Bangladesh Jamaat-e-Islami (Jamaat)) 50.7%, Kapil Krishna Mandal (Bangladesh Nationalist Party (BNP)) 49.3%","Bangladesh Jamaat-e-Islami (Jamaat) (50.7%), Bangladesh Nationalist Party (BNP) (49.3%)",114323.0,0.49309036014664653,117527.0,0.5069096398533535,0.0,0.0,117527.0,0.5069096398533535,114323.0,0.49309036014664653,0.0,0.0,-,-,-,-,117527.0,-,-,-,-,-,-,-,114323.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bagerhat 2,Khulna,Bagerhat,338009.0,167739.0,170265.0,5.0,184118.0,"Sheikh Manjurul Haque (Bangladesh Jamaat-e-Islami (Jamaat)) 63.9%, Sheikh Md. Zakir Hossain (Bangladesh Nationalist Party (BNP)) 36.1%","Bangladesh Jamaat-e-Islami (Jamaat) (63.9%), Bangladesh Nationalist Party (BNP) (36.1%)",66409.0,0.3606871680118185,117709.0,0.6393128319881815,0.0,0.0,117709.0,0.6393128319881815,66409.0,0.3606871680118185,0.0,0.0,-,-,-,-,117709.0,-,-,-,-,-,-,-,66409.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bagerhat 3,Khulna,Bagerhat,266864.0,132350.0,134510.0,4.0,187416.0,"Sheikh Faridul Islam (Bangladesh Nationalist Party (BNP)) 55.3%, Mohammed Abdul Wadud Sheikh (Bangladesh Jamaat-e-Islami (Jamaat)) 44.7%","Bangladesh Nationalist Party (BNP) (55.3%), Bangladesh Jamaat-e-Islami (Jamaat) (44.7%)",103711.0,0.5533732445468903,83705.0,0.44662675545310965,0.0,0.0,83705.0,0.44662675545310965,103711.0,0.5533732445468903,0.0,0.0,-,-,-,-,83705.0,-,-,-,-,-,-,-,103711.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bagerhat 4,Khulna,Bagerhat,380679.0,191812.0,188864.0,3.0,214393.0,"Md. Abdul Alim (Bangladesh Jamaat-e-Islami (Jamaat)) 54.1%, Somnath Dey (Bangladesh Nationalist Party (BNP)) 45.9%","Bangladesh Jamaat-e-Islami (Jamaat) (54.1%), Bangladesh Nationalist Party (BNP) (45.9%)",98326.0,0.4586250483924382,116067.0,0.5413749516075618,0.0,0.0,116067.0,0.5413749516075618,98326.0,0.4586250483924382,0.0,0.0,-,-,-,-,116067.0,-,-,-,-,-,-,-,98326.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bandarban 1,Chattogram,Bandarban,-,-,-,-,174770.0,"Saching Prue (Bangladesh Nationalist Party (BNP)) 80.9%, Abu Saeed Md. Sujauddin (National Citizen Party (NCP)) 15.0%, Md. Abul Kalam Azad (Islami Andolan Bangladesh (IAB)) 2.7%","Bangladesh Nationalist Party (BNP) (80.9%), National Citizen Party (NCP) (15.0%), Islami Andolan Bangladesh (IAB) (2.7%)",141455.0,0.8093780397093323,0.0,0.0,0.0,0.0,26162.0,0.14969388338959777,141455.0,0.8093780397093323,0.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,141455.0,-,-,-,-,-,-,-,-,4718.0,-,-,-,2435.0,-,-,26162.0,-
Barguna 1,Barishal,Barguna,519460.0,259098.0,260351.0,11.0,283649.0,"Md. Ali Ullah (Islami Andolan Bangladesh (IAB)) 49.5%, Md. Nazrul Islam Molla (Bangladesh Nationalist Party (BNP)) 48.0%, Md. Jahangir Hossain (Khelafat Majlis) 2.2%","Islami Andolan Bangladesh (IAB) (49.5%), Bangladesh Nationalist Party (BNP) (48.0%), Khelafat Majlis (2.2%)",136145.0,0.47997701384457553,0.0,0.0,0.0,0.0,6232.0,0.02197081604377241,136145.0,0.47997701384457553,0.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,136145.0,-,-,-,-,-,-,-,-,140291.0,-,-,-,-,981.0,6232.0,-,-
Barguna 2,Barishal,Barguna,337744.0,167965.0,169775.0,4.0,192353.0,"Md. Nurul Islam (Bangladesh Nationalist Party (BNP)) 47.1%, Sultan Ahmed (Bangladesh Jamaat-e-Islami (Jamaat)) 44.3%, Md. Mizanur Rahman (Islami Andolan Bangladesh (IAB)) 8.6%","Bangladesh Nationalist Party (BNP) (47.1%), Bangladesh Jamaat-e-Islami (Jamaat) (44.3%), Islami Andolan Bangladesh (IAB) (8.6%)",90643.0,0.4712325776047163,85247.0,0.44317998679511106,0.0,0.0,85247.0,0.44317998679511106,90643.0,0.4712325776047163,0.0,0.0,-,-,-,-,85247.0,-,-,-,-,-,-,-,90643.0,-,-,-,-,-,-,-,-,16463.0,-,-,-,-,-,-,-,-
Barishal 1,Barishal,Barishal,328198.0,165364.0,162834.0,-,146815.0,"Zahir Uddin Swapan (Bangladesh Nationalist Party (BNP)) 68.5%, Md. Kamrul Islam Khan (Bangladesh Jamaat-e-Islami (Jamaat)) 31.5%","Bangladesh Nationalist Party (BNP) (68.5%), Bangladesh Jamaat-e-Islami (Jamaat) (31.5%)",100552.0,0.6848891462044069,46263.0,0.3151108537955931,0.0,0.0,46263.0,0.3151108537955931,100552.0,0.6848891462044069,0.0,0.0,-,-,-,-,46263.0,-,-,-,-,-,-,-,100552.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Barishal 2,Barishal,Barishal,385807.0,196262.0,189544.0,1.0,215704.0,"Sardar Sarfuddin Ahmed (Bangladesh Nationalist Party (BNP)) 65.7%, Abdul Mannan (Bangladesh Jamaat-e-Islami (Jamaat)) 34.3%","Bangladesh Nationalist Party (BNP) (65.7%), Bangladesh Jamaat-e-Islami (Jamaat) (34.3%)",141622.0,0.6565571338500908,74082.0,0.34344286614990915,0.0,0.0,74082.0,0.34344286614990915,141622.0,0.6565571338500908,0.0,0.0,-,-,-,-,74082.0,-,-,-,-,-,-,-,141622.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Barishal 3,Barishal,Barishal,332097.0,167921.0,164173.0,3.0,142122.0,"Zainul Abedin (Bangladesh Nationalist Party (BNP)) 56.9%, Md. Asaduzzaman Bhuiyan (Amar Bangladesh Party (AB)) 43.1%","Bangladesh Nationalist Party (BNP) (56.9%), Amar Bangladesh Party (AB) (43.1%)",80930.0,0.5694403399895864,0.0,0.0,0.0,0.0,61192.0,0.43055966001041357,80930.0,0.5694403399895864,0.0,0.0,61192.0,-,-,-,-,-,-,-,-,-,-,-,80930.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
