seat_name,total_voters,total_votes,top_three_candidates,top_three,bnp_votes,bnp_ratio,jamaat_votes,jamaat_ratio,democracy_platform_votes,democracy_platform_ratio,eleven_party_alliance_votes,eleven_party_alliance_ratio,bnp_alliance_votes,bnp_alliance_ratio,bnp_vs_eleven_party_alliance_votes,bnp_vs_eleven_party_alliance_ratio,Am Janata Party,Amar Bangladesh Party (AB),Bangladesh Congress,Bangladesh Cultural Liberation Front (Muktijot),Bangladesh Development Party,Bangladesh Islami Front,Bangladesh Jamaat-e-Islami (Jamaat),Bangladesh Jatiya Party (BJP),Bangladesh Jatiya Samajtantrik Dal (Bangladesh JaSad),Bangladesh Kallyan Party (BKP),Bangladesh Khelafat Andolon (BKA),Bangladesh Khelafat Majlish (BKM),Bangladesh Labour Party,Bangladesh Minority People’s Party (BMJP),Bangladesh Muslim League (BML),Bangladesh National Awami Party (Bangladesh NAP),Bangladesh Nationalist Front (BNF),Bangladesh Nationalist Party (BNP),Bangladesh Nezam-e-Islam Party,Bangladesh Republican Party (BRP),Bangladesh Samo Odhikar Party (BEP),Bangladesh Socialist Party (BASAD),Bangladesh Socialist Party (Marxist),Bangladesh Supreme Party (BSP),Communist Party of Bangladesh (CPB),Ganatantri Party (GP),Ganosanhati Andolan (GSA),Gono Forum (GF),Gono Front,Gono Odhikar Parishad (GOP),Independent Candidate (Independent),Insaniyat Biplob Bangladesh,Islami Andolan Bangladesh (IAB),Islamic Front Bangladesh (IFB),JAGPA,Jamiat Ulema-e-Islam Bangladesh,Janata Party,Jatiya Party (JaPa),Jatiya Samajtantrik Dal (JSD),Khelafat Majlis,Liberal Democratic Party (LDP),Nagorik Oikya (NO),National Citizen Party (NCP),National People's Party (NPP),Nationalist Democratic Movement (NDM),Revolutionary Workers Party of Bangladesh (RWPB),Zaker Party (ZP)
Barguna 1,519460,283649,"Md. Oli Ullah (Islami Andolan Bangladesh (IAB)) 49.5%, Md. Nazrul Islam Mollah (Bangladesh Nationalist Party (BNP)) 48.0%, Md. Jahangir Hossain (Khelafat Majlis) 2.2%","Islami Andolan Bangladesh (IAB) (49.5%), Bangladesh Nationalist Party (BNP) (48.0%), Khelafat Majlis (2.2%)",136145,0.479977,-,-,-,-,6232,0.021971,136145,0.479977,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,136145,-,-,-,-,-,-,-,-,-,-,-,-,-,-,140291,-,-,-,-,981,-,6232,-,-,-,-,-,-,-
Barguna 2,337744,194622,"Md. Nurul Islam (Bangladesh Nationalist Party (BNP)) 46.6%, Dr. Sultan Ahmed (Bangladesh Jamaat-e-Islami (Jamaat)) 43.8%, Md. Mizanur Rahman (Islami Andolan Bangladesh (IAB)) 8.5%","Bangladesh Nationalist Party (BNP) (46.6%), Bangladesh Jamaat-e-Islami (Jamaat) (43.8%), Islami Andolan Bangladesh (IAB) (8.5%)",90643,0.465739,85247,0.438013,-,-,85247,0.438013,90643,0.465739,-,-,-,-,219,-,-,-,85247,115,-,-,-,-,-,-,-,-,-,90643,-,-,-,-,-,-,-,-,-,-,-,-,298,-,16463,-,-,-,-,1248,-,-,-,-,-,95,294,-,-
Patuakhali 1,505840,259294,"Altaf Hossain Chowdhury (Bangladesh Nationalist Party (BNP)) 58.7%, Md. Firoz Alam (Islami Andolan Bangladesh (IAB)) 22.4%, Mohammad Abdul Wahab (Amar Bangladesh Party (AB)) 17.9%","Bangladesh Nationalist Party (BNP) (58.7%), Islami Andolan Bangladesh (IAB) (22.4%), Amar Bangladesh Party (AB) (17.9%)",152087,0.586543,-,-,1334,0.005145,46310,0.1786,152434,0.587881,-,-,-,46310,-,-,-,-,-,-,1334,-,-,-,-,-,-,-,-,152087,-,-,-,-,-,-,-,-,-,-,-,347,-,-,58161,-,-,-,-,1055,-,-,-,-,-,-,-,-,-
Patuakhali 2,315282,188607,"Md. Shafiqul Islam (Bangladesh Jamaat-e-Islami (Jamaat)) 53.4%, Md. Shahidul Alam Talukder (Bangladesh Nationalist Party (BNP)) 38.5%, Malek Hossain (Islami Andolan Bangladesh (IAB)) 7.6%","Bangladesh Jamaat-e-Islami (Jamaat) (53.4%), Bangladesh Nationalist Party (BNP) (38.5%), Islami Andolan Bangladesh (IAB) (7.6%)",72676,0.38533,100750,0.53418,-,-,101160,0.536353,73029,0.387202,-,-,-,410,-,-,-,-,100750,-,-,-,-,-,-,-,-,-,-,72676,-,-,-,-,-,-,-,-,-,-,-,353,-,-,14418,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Patuakhali 3,375871,234105,"Md. Nurul Haque (Gono Odhikar Parishad (GOP)) 41.6%, Md. Hasan Mamun (Independent Candidate (Independent)) 35.2%, Md. Abu Bakkar Siddiqui (Islami Andolan Bangladesh (IAB)) 16.3%","Gono Odhikar Parishad (GOP) (41.6%), Independent Candidate (Independent) (35.2%), Islami Andolan Bangladesh (IAB) (16.3%)",-,-,16255,0.069435,-,-,16255,0.069435,97323,0.415724,-,-,-,-,-,-,-,-,16255,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,97323,82339,-,38188,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Patuakhali 4,312603,209324,"A. B. M. Mosharraf Hossain (Bangladesh Nationalist Party (BNP)) 59.2%, Mostafizur Rahman (Islami Andolan Bangladesh (IAB)) 33.5%, Dr. Jahir Uddin Ahmed (Khelafat Majlis) 7.2%","Bangladesh Nationalist Party (BNP) (59.2%), Islami Andolan Bangladesh (IAB) (33.5%), Khelafat Majlis (7.2%)",124013,0.592445,-,-,-,-,14985,0.071588,124215,0.59341,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,124013,-,-,-,-,-,-,-,-,-,-,-,202,-,-,70124,-,-,-,-,-,-,14985,-,-,-,-,-,-,-
Bhola 1,406567,196496,"Andaleeb Rahman (Bangladesh Jatiya Party (BJP)) 53.7%, Md. Nazrul Islam (Bangladesh Jamaat-e-Islami (Jamaat)) 32.2%, Md. Obaidur Rahman (Islami Andolan Bangladesh (IAB)) 12.8%","Bangladesh Jatiya Party (BJP) (53.7%), Bangladesh Jamaat-e-Islami (Jamaat) (32.2%), Islami Andolan Bangladesh (IAB) (12.8%)",-,-,63352,0.322409,-,-,63352,0.322409,1103,0.005613,-,-,-,-,-,-,-,-,63352,105543,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1103,134,-,25245,303,-,-,-,599,-,-,-,-,-,217,-,-,-
Bhola 2,395546,215422,"Md. Hafiz Ibrahim (Bangladesh Nationalist Party (BNP)) 55.3%, Mohammad Fazlul Karim (Bangladesh Jamaat-e-Islami (Jamaat)) 43.5%, Md. Zakir Hossain Khandakar (Independent Candidate (Independent)) 0.7%","Bangladesh Nationalist Party (BNP) (55.3%), Bangladesh Jamaat-e-Islami (Jamaat) (43.5%), Independent Candidate (Independent) (0.7%)",119085,0.552799,93703,0.434974,-,-,94084,0.436743,119085,0.552799,-,-,370,-,-,-,-,-,93703,-,-,-,-,-,-,-,-,-,-,119085,-,-,-,-,-,-,-,-,-,-,-,-,1433,-,-,-,-,-,-,450,-,-,381,-,-,-,-,-,-
Bhola 3,388550,212153,"Hafiz Uddin Ahmed, Bir Bikram (Bangladesh Nationalist Party (BNP)) 68.8%, Md. Nizamul Haque (Bangladesh Development Party) 27.0%, Md. Mosleh Uddin (Islami Andolan Bangladesh (IAB)) 3.4%","Bangladesh Nationalist Party (BNP) (68.8%), Bangladesh Development Party (27.0%), Islami Andolan Bangladesh (IAB) (3.4%)",145990,0.688135,-,-,-,-,57351,0.270328,146250,0.689361,-,-,-,-,-,-,57351,-,-,-,-,-,-,-,-,-,-,-,-,145990,-,-,-,-,-,-,-,-,-,-,-,260,508,-,7255,-,-,-,-,789,-,-,-,-,-,-,-,-,-
Bhola 4,502026,296927,"Mohammad Nurul Islam (Bangladesh Nationalist Party (BNP)) 63.8%, Mohammad Mostafa Kamal (Bangladesh Jamaat-e-Islami (Jamaat)) 27.4%, Abul Mokarram Md. Kamal Uddin (Islami Andolan Bangladesh (IAB)) 8.4%","Bangladesh Nationalist Party (BNP) (63.8%), Bangladesh Jamaat-e-Islami (Jamaat) (27.4%), Islami Andolan Bangladesh (IAB) (8.4%)",189351,0.637702,81437,0.274266,-,-,81437,0.274266,189351,0.637702,-,-,176,-,-,-,-,-,81437,-,-,-,-,-,-,-,-,-,-,189351,-,-,-,-,-,-,-,-,-,-,-,-,235,-,24935,-,-,-,-,585,-,-,-,-,-,-,208,-,-
