seat_id,seat_number,seat_name,division,district,party,candidate,votes
320086,001,Panchagarh 1,Rangpur,Panchagarh,Bangladesh Jatiya Samajtantrik Dal (Bangladesh JaSad),Nazmul Haque Pradhan,3009
320086,001,Panchagarh 1,Rangpur,Panchagarh,Bangladesh Nationalist Party (BNP),Md. Nawshad Zamir,176169
320086,001,Panchagarh 1,Rangpur,Panchagarh,Bangladesh Supreme Party (BSP),Md. Abdul Wadud,1018
320086,001,Panchagarh 1,Rangpur,Panchagarh,Gono Odhikar Parishad (GOP),Md. Mahfuzar Rahman,836
320086,001,Panchagarh 1,Rangpur,Panchagarh,National Citizen Party (NCP),Md. Sarjis Alam,168049
320086,001,Panchagarh 1,Rangpur,Panchagarh,Bangladesh Labour Party,Md. Ferdous Alam,683
320086,001,Panchagarh 1,Rangpur,Panchagarh,Bangladesh Nationalist Front (BNF),Md. Sirajul Islam,261
320091,002,Panchagarh 2,Rangpur,Panchagarh,Bangladesh Nationalist Party (BNP),Farhad Hossain Azad,174650
320091,002,Panchagarh 2,Rangpur,Panchagarh,Independent Candidate (Independent),Mahmud Hossain Sumon,1854
320091,002,Panchagarh 2,Rangpur,Panchagarh,Communist Party of Bangladesh (CPB),Md. Ashraful Alam,935
320091,002,Panchagarh 2,Rangpur,Panchagarh,Bangladesh Jatiya Samajtantrik Dal (Bangladesh JaSad),Mdf.Emran Al Amin,953
320091,002,Panchagarh 2,Rangpur,Panchagarh,Islami Andolan Bangladesh (IAB),Md. Kamrul Hasan Pradhan,4391
320091,002,Panchagarh 2,Rangpur,Panchagarh,Bangladesh Supreme Party (BSP),Md. Delwar Hossain,1352
320091,002,Panchagarh 2,Rangpur,Panchagarh,Jatiya Party (JaPa),Lutfur Rahman Ripon,2152
320091,002,Panchagarh 2,Rangpur,Panchagarh,Bangladesh Jamaat-e-Islami (Jamaat),Md. Shafiul Alam,128862
320451,3,Thakurgaon 1,Rangpur,Thakurgaon,Bangladesh Jamaat-e-Islami (Jamaat),Delowar Hossain,141017
320451,3,Thakurgaon 1,Rangpur,Thakurgaon,Bangladesh Nationalist Party (BNP),Mirza Fakhrul Islam Alamgir,238836
320451,3,Thakurgaon 1,Rangpur,Thakurgaon,Islami Andolan Bangladesh (IAB),Md. Khademul Islam,3851
320456,4,Thakurgaon 2,Rangpur,Thakurgaon,Jatiya Party (JaPa),Nurunnahar Begum,2876
320456,4,Thakurgaon 2,Rangpur,Thakurgaon,Bangladesh Jamaat-e-Islami (Jamaat),Md. Abdul Hakim,115707
320456,4,Thakurgaon 2,Rangpur,Thakurgaon,Bangladesh Nationalist Party (BNP),Md. Abdus Salam,121017
320456,4,Thakurgaon 2,Rangpur,Thakurgaon,Amar Bangladesh Party (AB),Md. Nahid Rana,451
320456,4,Thakurgaon 2,Rangpur,Thakurgaon,Gono Odhikar Parishad (GOP),Md. Faruk Hossain,1843
320456,4,Thakurgaon 2,Rangpur,Thakurgaon,Islami Andolan Bangladesh (IAB),Md. Rezaul Karim,437
320456,4,Thakurgaon 2,Rangpur,Thakurgaon,Communist Party of Bangladesh (CPB),Sahabuddin Ahned,380
320461,5,Thakurgaon 3,Rangpur,Thakurgaon,Bangladesh Muslim League (BML),S. M. Khalilur Rahman Sarkar,113
320461,5,Thakurgaon 3,Rangpur,Thakurgaon,Communist Party of Bangladesh (CPB),Provat Somir Shahjahan Alam,1548
320461,5,Thakurgaon 3,Rangpur,Thakurgaon,Independent Candidate (Independent),Mst. Asha Moni,279
320461,5,Thakurgaon 3,Rangpur,Thakurgaon,Bangladesh Supreme Party (BSP),Md. Abul Kalam Azad,503
320461,5,Thakurgaon 3,Rangpur,Thakurgaon,Islami Andolan Bangladesh (IAB),Md. Al Amin,1295
