party,votes
Bangladesh Nationalist Party (BNP),37097895
Bangladesh Jamaat-e-Islami (Jamaat),23582777
Independent Candidate (Independent),4370634
National Citizen Party (NCP),2312450
Islami Andolan Bangladesh (IAB),1981403
Bangladesh Khelafat Majlish (BKM),1670060
Jatiya Party (JaPa),553671
Khelafat Majlis,455447
Jamiat Ulema-e-Islam Bangladesh (JUIB),349886
Bangladesh Islami Front (BIF),312237
Bangladesh Liberal Democratic Party (LDP),258817
Gono Odhikar Parishad (GOP),237526
Amar Bangladesh Party (AB),207120
Bangladesh Development Party (BDP),128519
Bangladesh Jatiya Party (BJP),105918
Ganosanhati Andolan (GSA),102928
Communist Party of Bangladesh (CPB),51345
Bangladesh Samajtantrik Dal (Basad),37536
Revolutionary Workers Party of Bangladesh (RWPB),33000
Jatiya Samajtantrik Dal (JSD),31467
Islamic Front Bangladesh (IFB),28325
Bangladesh Nezame Islam Party (BNIP),26890
Insaniyat Biplob Bangladesh (IBB),21312
Jatiya Party (Manju) (JP–Manju),19143
Bangladesh Supreme Party (BSP),18286
Bangladesh Republican Party (BRP),15994
Janotar Dol,15463
Zaker Party (ZP),13486
Bangladesh Jatiya Samajtantrik Dal (Bangladesh JaSad),10277
Socialist Party of Bangladesh (Marxist) (SPB-M),10124
Bangladesh Muslim League,6357
Bangladesh Minority Janata Party (BMJP),6158
Bangladesh Congress,5772
Nagorik Oikya (NO),5713
Bangladesh Khelafat Andolon (BKA),4901
National People's Party (NPP),4826
Bangladesh National Awami Party–Bangladesh NAP (BNAP),4477
Gono Forum (GF),4429
Bangladesh Sangskritik Muktijote (BSM),4172
Amjanatar Dol,4164
Bangladesh Labour Party,3748
Bangladesh Muslim League (BML),3543
Islami Oikya Jote (IOJ),2611
Jatiya Ganatantrik Party (JAGPA),1772
Nationalist Democratic Movement (NDM),1542
Bangladesh Nationalist Front (BNF),1469
Bangladesh Kallyan Party (BKP),589
Gono Front (GF),579
Jatiya Samajtantrik Dal-JASAD,315
Bangladesh Jatiya Party (Matin),212
Ganatantri Party (GP),191
Bangladesh Somo Odhikar Party (BEP),169
