seat_name,party_ds,party_tbs,candidate_ds,tbs_votes,ds_votes,diff,issue
Bagerhat 3,Bangladesh Jamaat-e-Islami,Bangladesh Jamaat-e-Islami (Jamaat),Mohammed Abdul Wadud Sheikh,83550,83705,155,Vote count mismatch
Bagerhat 3,BNP,Bangladesh Nationalist Party (BNP),Sheikh Faridul Islam,102661,103711,1050,Vote count mismatch
Barguna 1,Jatiya Party,Jatiya Party (JaPa),Md. Jamal Hossain,-,981,-,Party not found in TBS (mapping needed?)
Barishal 2,Bangladesh Jamaat-e-Islami,Bangladesh Jamaat-e-Islami (Jamaat),Abdul Mannan,78082,74082,-4000,Vote count mismatch
Bhola 4,Bangladesh Jamaat-e-Islami,Bangladesh Jamaat-e-Islami (Jamaat),Mohammad Mustafa Kamal,81937,81437,-500,Vote count mismatch
Bogura 2,BNP,Bangladesh Nationalist Party (BNP),Mir Shah Alam,145137,145024,-113,Vote count mismatch
Bogura 7,BNP,Bangladesh Nationalist Party (BNP),Morshed Milton,264212,158196,-106016,Vote count mismatch
Brahmanbaria 1,Independent,Independent Candidate (Independent),A.K.M. Kamruzzaman,17666,35220,17554,Vote count mismatch
Brahmanbaria 1,Independent,Independent Candidate (Independent),Md. Habibur Rahman,17666,106,-17560,Vote count mismatch
Brahmanbaria 2,Independent,Independent Candidate (Independent),Rumin Farhana,12560,118547,105987,Vote count mismatch
Chandpur 4,Independent,Independent Candidate (Independent),Md. Abdul Hannan,184,74175,73991,Vote count mismatch
Chattogram 16,Bangladesh Muslim League - BML,Bangladesh Muslim League (BML),Ehsanul Hoque,-,105,-,Party not found in TBS (mapping needed?)
Coxs Bazar 2,Bangladesh Jamaat-e-Islami,Bangladesh Jamaat-e-Islami (Jamaat),A. H. M. Hamidur Rahaman Azad,91889,89817,-2072,Vote count mismatch
Coxs Bazar 2,BNP,Bangladesh Nationalist Party (BNP),Alamgir Mohammad Mahfuzullah Farid,125543,124660,-883,Vote count mismatch
Dhaka 19,National Citizens Party - NCP,National Citizen Party (NCP),Dilshana Parul,125283,123283,-2000,Vote count mismatch
Dinajpur 2,Bangladesh Jamaat-e-Islami,Bangladesh Jamaat-e-Islami (Jamaat),A. K. M. Afjalul Anam,104887,101831,-3056,Vote count mismatch
Dinajpur 2,BNP,Bangladesh Nationalist Party (BNP),Md. Sadiq Reaz,139622,144317,4695,Vote count mismatch
Dinajpur 3,Bangladesh Jamaat-e-Islami,Bangladesh Jamaat-e-Islami (Jamaat),Md. Maynul Alam,136239,134618,-1621,Vote count mismatch
Dinajpur 3,BNP,Bangladesh Nationalist Party (BNP),Syed Jahangir Alam,140608,139207,-1401,Vote count mismatch
Dinajpur 4,BNP,Bangladesh Nationalist Party (BNP),Akhtaruzzaman Mia,166717,165577,-1140,Vote count mismatch
Dinajpur 4,Bangladesh Jamaat-e-Islami,Bangladesh Jamaat-e-Islami (Jamaat),Md. Aftab Uddin Mollah,129056,127666,-1390,Vote count mismatch
Dinajpur 5,Independent,Independent Candidate (Independent),A. Z. M. Rezwanul Haque,114484,113650,-834,Vote count mismatch
Dinajpur 5,National Citizens Party - NCP,National Citizen Party (NCP),Md. Abdul Ahad,110195,108948,-1247,Vote count mismatch
Dinajpur 6,BNP,Bangladesh Nationalist Party (BNP),Abu Zafar Md. Zahid Hossain,205118,203887,-1231,Vote count mismatch
Dinajpur 6,Bangladesh Jamaat-e-Islami,Bangladesh Jamaat-e-Islami (Jamaat),Md. Anowarul Islam,190703,188719,-1984,Vote count mismatch
Faridpur 1,BNP,Bangladesh Nationalist Party (BNP),Khandaker Nasirul Islam,126476,126475,-1,Vote count mismatch
Faridpur 1,Bangladesh Jamaat-e-Islami,Bangladesh Jamaat-e-Islami (Jamaat),Md. Elias Molla,154145,154772,627,Vote count mismatch
Feni 1,Bangladesh Muslim League - BML,Bangladesh Muslim League (BML),Mahbub Morshed Majumder,-,188,-,Party not found in TBS (mapping needed?)
Feni 3,BNP,Bangladesh Nationalist Party (BNP),Mr. Abdul Awal Mintu,157825,157425,-400,Vote count mismatch
Gaibandha 3,Bangladesh Jamaat-e-Islami,Bangladesh Jamaat-e-Islami (Jamaat),Abul Kausar Mohammad Nazrul Islam,162457,163457,1000,Vote count mismatch
Gopalganj 2,Independent,Independent Candidate (Independent),M.H. Khan Manju,27891,33039,5148,Vote count mismatch
Habiganj 3,Jatiya Party,Jatiya Party (JaPa),Abdul Mumin Chowdhury,-,1259,-,Party not found in TBS (mapping needed?)
Habiganj 3,Bangladesh Sangskritik Muktijote,Bangladesh Sangskritik Muktijote (BSM),Md. Shahinur Rahman,-,132,-,Party not found in TBS (mapping needed?)
Habiganj 3,Islamic Andolon Bangladesh,Islami Andolan Bangladesh (IAB),Mohib Uddin Ahmed Sohel,-,5443,-,Party not found in TBS (mapping needed?)
Habiganj 3,Bangladesh Islamic Front,Bangladesh Islami Front (BIF),S. M. Sarwar,-,14133,-,Party not found in TBS (mapping needed?)
Habiganj 4,Independent,Independent Candidate (Independent),Saleh Ahmed Sajan,652,619,-33,Vote count mismatch
Jamalpur 1,BNP,Bangladesh Nationalist Party (BNP),M Rashiduzzaman Millat,172115,173656,1541,Vote count mismatch
Jamalpur 1,Bangladesh Jamaat-e-Islami,Bangladesh Jamaat-e-Islami (Jamaat),Muhammad Nazmul Haque Sayeedi,93661,97820,4159,Vote count mismatch
Jashore 2,Bangladesh Nationalist Front - BNF,Bangladesh Nationalist Front (BNF),Md. Shamsul Haque,203,233,30,Vote count mismatch
Jashore 2,Independent,Independent Candidate (Independent),Md. Zahurul Islam,389,188,-201,Vote count mismatch
Jhenaidah 4,Independent,Independent Candidate (Independent),Md. Saiful Islam Firoz,77104,77140,36,Vote count mismatch
Khagrachhari 1,Independent,Independent Candidate (Independent),Dharma Jyoti Chakma,934,68315,67381,Vote count mismatch
Kishoreganj 5,Independent,Independent Candidate (Independent),Sk Mozibur Rahman Iqbal,1897,79604,77707,Vote count mismatch
Kurigram 3,Bangladesh Jamaat-e-Islami,Bangladesh Jamaat-e-Islami (Jamaat),Md. Mahbubul Alam,106923,107930,1007,Vote count mismatch
Kurigram 3,BNP,Bangladesh Nationalist Party (BNP),Tasvir Ul Islam,672,79352,78680,Vote count mismatch
Kurigram 4,BNP,Bangladesh Nationalist Party (BNP),Md. Azizur Rahman,83762,84423,661,Vote count mismatch
Kurigram 4,Bangladesh Jamaat-e-Islami,Bangladesh Jamaat-e-Islami (Jamaat),Md. Mostafizur Rahman,106347,108210,1863,Vote count mismatch
Kushtia 3,Bangladesh Jamaat-e-Islami,Bangladesh Jamaat-e-Islami (Jamaat),Md. Amir Hamza,182476,180690,-1786,Vote count mismatch
Kushtia 3,BNP,Bangladesh Nationalist Party (BNP),Md. Zakir Hossain Sarker,127559,126909,-650,Vote count mismatch
Lalmonirhat 2,Bangladesh Jamaat-e-Islami,Bangladesh Jamaat-e-Islami (Jamaat),Md. Firoz Haider,107886,117252,9366,Vote count mismatch
Lalmonirhat 2,BNP,Bangladesh Nationalist Party (BNP),Md. Rokon Uddin Babul,118359,123946,5587,Vote count mismatch
Madaripur 2,Independent,Independent Candidate (Independent),Milton Baidya,2779,46476,43697,Vote count mismatch
Manikganj 1,Independent,Independent Candidate (Independent),Md. Tozammel Haque,6966,77818,70852,Vote count mismatch
Manikganj 2,Khilafat Majlis,Khelafat Majlis,Md. Salauddin,-,81531,-,Party not found in TBS (mapping needed?)
Moulvibazar 4,BNP,Bangladesh Nationalist Party (BNP),Md. Mujibur Rahman Chowdhury,170877,169608,-1269,Vote count mismatch
Moulvibazar 4,Bangladesh Khilafat Majlis,Bangladesh Khelafat Majlish (BKM),Sheikh Noor-e-Alam Hamidi,50204,49189,-1015,Vote count mismatch
Mymensingh 4,BNP,Bangladesh Nationalist Party (BNP),Md. Abu Wahab Akand Wahid,179688,179668,-20,Vote count mismatch
Mymensingh 5,Bangladesh Jamaat-e-Islami,Bangladesh Jamaat-e-Islami (Jamaat),Md. Matiur Rahman Akand,102228,102226,-2,Vote count mismatch
Mymensingh 5,BNP,Bangladesh Nationalist Party (BNP),Mohammad Zakir Hossain,128898,128896,-2,Vote count mismatch
Mymensingh 6,Independent,Independent Candidate (Independent),Akhtar Sultana,51970,53331,1361,Vote count mismatch
Naogaon 4,BNP,Bangladesh Nationalist Party (BNP),Ekramul Bari Tipu,133928,133924,-4,Vote count mismatch
Naogaon 5,BNP,Bangladesh Nationalist Party (BNP),Md. Zahidul Islam Dhulu,129385,129358,-27,Vote count mismatch
Natore 1,Independent,Independent Candidate (Independent),Md. Taiful Islam Tipu,80,73173,73093,Vote count mismatch
Natore 3,Independent,Independent Candidate (Independent),Md. Daudar Mahmud,372,66492,66120,Vote count mismatch
Nilphamari 1,Jamiat Ulama-e-Islam Bangladesh,Jamiat Ulema-e-Islam Bangladesh (JUIB),Maolana Md. Monjurul Islam,119059,118160,-899,Vote count mismatch
Nilphamari 1,Bangladesh Jamaat-e-Islami,Bangladesh Jamaat-e-Islami (Jamaat),Md. Abdus Sattar,150824,149224,-1600,Vote count mismatch
Nilphamari 2,Bangladesh Jamaat-e-Islami,Bangladesh Jamaat-e-Islami (Jamaat),Al Faruq Abdul Latif,146430,145202,-1228,Vote count mismatch
Nilphamari 2,BNP,Bangladesh Nationalist Party (BNP),Shahrin Islam,135418,134579,-839,Vote count mismatch
Nilphamari 3,BNP,Bangladesh Nationalist Party (BNP),Alhaj Syed Ali,89807,89102,-705,Vote count mismatch
Nilphamari 3,Bangladesh Jamaat-e-Islami,Bangladesh Jamaat-e-Islami (Jamaat),Obaidullah Salafi,109686,108560,-1126,Vote count mismatch
