seat_name,candidate_ds,party_ds,party_tbs,tbs_votes,ds_votes,diff,diff_pct,is_significant,issue
Bagerhat 3,Mohammed Abdul Wadud Sheikh,Bangladesh Jamaat-e-Islami (Jamaat),Bangladesh Jamaat-e-Islami (Jamaat),83550,83705,155,0.19%,False,Vote count mismatch
Bagerhat 3,Sheikh Faridul Islam,Bangladesh Nationalist Party (BNP),Bangladesh Nationalist Party (BNP),102661,103711,1050,1.02%,True,Vote count mismatch
Barishal 2,Abdul Mannan,Bangladesh Jamaat-e-Islami (Jamaat),Bangladesh Jamaat-e-Islami (Jamaat),78082,74082,-4000,5.12%,True,Vote count mismatch
Bhola 4,Md. Mustafa Kamal,Bangladesh Jamaat-e-Islami (Jamaat),Bangladesh Jamaat-e-Islami (Jamaat),81937,81437,-500,0.61%,False,Vote count mismatch
Bogura 2,Mir Shah Alam,Bangladesh Nationalist Party (BNP),Bangladesh Nationalist Party (BNP),145137,145024,-113,0.08%,False,Vote count mismatch
Bogura 7,Morshed Milton,Bangladesh Nationalist Party (BNP),Bangladesh Nationalist Party (BNP),264212,158196,-106016,40.13%,True,Vote count mismatch
Brahmanbaria 6,Md. Abu Naser,Islamic Front Bangladesh (IFB),Islamic Front Bangladesh (IFB),-,2353,-,-,True,Party not found in TBS for this seat
Chattogram 6,Md. Elias Nuri,Islamic Front Bangladesh (IFB),Islamic Front Bangladesh (IFB),-,27146,-,-,True,Party not found in TBS for this seat
Chattogram 12,Sayed Ayar Md. Peyaru,Islamic Front Bangladesh (IFB),Islamic Front Bangladesh (IFB),-,28999,-,-,True,Party not found in TBS for this seat
Chattogram 13,S. M. Shahjahan,Islamic Front Bangladesh (IFB),Islamic Front Bangladesh (IFB),-,51450,-,-,True,Party not found in TBS for this seat
Chattogram 16,Abdul Malak,Bangladesh Islami Front (BIF),Bangladesh Islami Front (BIF),-,844,-,-,True,Party not found in TBS for this seat
Cox's Bazar 2,A. H. M. Hamidur Rahman Azad,Bangladesh Jamaat-e-Islami (Jamaat),Bangladesh Jamaat-e-Islami (Jamaat),91889,89817,-2072,2.25%,True,Vote count mismatch
Cox's Bazar 2,Alamgir Md. Mahfuzullah Farid,Bangladesh Nationalist Party (BNP),Bangladesh Nationalist Party (BNP),125543,124660,-883,0.70%,False,Vote count mismatch
Dhaka 19,Dilshana Parul,National Citizen Party (NCP),National Citizen Party (NCP),125283,123283,-2000,1.60%,True,Vote count mismatch
Dinajpur 2,A. K. M. Afjalul Anam,Bangladesh Jamaat-e-Islami (Jamaat),Bangladesh Jamaat-e-Islami (Jamaat),104887,101831,-3056,2.91%,True,Vote count mismatch
Dinajpur 2,Md. Sadiq Reaz,Bangladesh Nationalist Party (BNP),Bangladesh Nationalist Party (BNP),139622,144317,4695,3.36%,True,Vote count mismatch
Dinajpur 3,Md. Maynul Alam,Bangladesh Jamaat-e-Islami (Jamaat),Bangladesh Jamaat-e-Islami (Jamaat),136239,134618,-1621,1.19%,True,Vote count mismatch
Dinajpur 3,Syed Jahangir Alam,Bangladesh Nationalist Party (BNP),Bangladesh Nationalist Party (BNP),140608,139207,-1401,1.00%,False,Vote count mismatch
Dinajpur 4,Akhtaruzzaman Mia,Bangladesh Nationalist Party (BNP),Bangladesh Nationalist Party (BNP),166717,165577,-1140,0.68%,False,Vote count mismatch
Dinajpur 4,Md. Aftab Uddin Molla,Bangladesh Jamaat-e-Islami (Jamaat),Bangladesh Jamaat-e-Islami (Jamaat),129056,127666,-1390,1.08%,True,Vote count mismatch
Dinajpur 5,Md. Abdul Ahad,National Citizen Party (NCP),National Citizen Party (NCP),110195,108948,-1247,1.13%,True,Vote count mismatch
Dinajpur 6,Abu Zafar Md. Zahid Hossain,Bangladesh Nationalist Party (BNP),Bangladesh Nationalist Party (BNP),205118,203887,-1231,0.60%,False,Vote count mismatch
Dinajpur 6,Md. Anowarul Islam,Bangladesh Jamaat-e-Islami (Jamaat),Bangladesh Jamaat-e-Islami (Jamaat),190703,188719,-1984,1.04%,True,Vote count mismatch
Faridpur 1,Khandaker Nasirul Islam,Bangladesh Nationalist Party (BNP),Bangladesh Nationalist Party (BNP),126476,126475,-1,0.00%,False,Vote count mismatch
Faridpur 1,Md. Elias Molla,Bangladesh Jamaat-e-Islami (Jamaat),Bangladesh Jamaat-e-Islami (Jamaat),154145,154772,627,0.41%,False,Vote count mismatch
Feni 3,Mr. Abdul Awal Mintu,Bangladesh Nationalist Party (BNP),Bangladesh Nationalist Party (BNP),157825,157425,-400,0.25%,False,Vote count mismatch
Gaibandha 3,Abul Kausar Md. Nazrul Islam,Bangladesh Jamaat-e-Islami (Jamaat),Bangladesh Jamaat-e-Islami (Jamaat),162457,163457,1000,0.62%,False,Vote count mismatch
Habiganj 3,Abdul Mumin Chowdhury,Jatiya Party (JaPa),Jatiya Party (JaPa),-,1259,-,-,True,Party not found in TBS for this seat
Habiganj 3,Md. Shahinur Rahman,Bangladesh Sangskritik Muktijote (BSM),Bangladesh Sangskritik Muktijote (BSM),-,132,-,-,True,Party not found in TBS for this seat
Habiganj 3,Mohib Uddin Ahmed Sohel,Islami Andolan Bangladesh (IAB),Islami Andolan Bangladesh (IAB),-,5443,-,-,True,Party not found in TBS for this seat
Habiganj 3,S. M. Sarwar,Islamic Front Bangladesh (IFB),Islamic Front Bangladesh (IFB),-,14133,-,-,True,Party not found in TBS for this seat
Habiganj 4,Md. Gias Uddin,Islamic Front Bangladesh (IFB),Islamic Front Bangladesh (IFB),-,84323,-,-,True,Party not found in TBS for this seat
Jamalpur 1,M. Rashiduzzaman Millat,Bangladesh Nationalist Party (BNP),Bangladesh Nationalist Party (BNP),172115,173656,1541,0.90%,False,Vote count mismatch
Jamalpur 1,Md. Nazmul Haque Sayeedi,Bangladesh Jamaat-e-Islami (Jamaat),Bangladesh Jamaat-e-Islami (Jamaat),93661,97820,4159,4.44%,True,Vote count mismatch
Jashore 2,Md. Shamsul Haque,Bangladesh Nationalist Front (BNF),Bangladesh Nationalist Front (BNF),203,233,30,14.78%,True,Vote count mismatch
Kurigram 3,Md. Mahbubul Alam,Bangladesh Jamaat-e-Islami (Jamaat),Bangladesh Jamaat-e-Islami (Jamaat),106923,107930,1007,0.94%,False,Vote count mismatch
Kurigram 3,Tasvir Ul Islam,Bangladesh Nationalist Party (BNP),Bangladesh Nationalist Party (BNP),672,79352,78680,11708.33%,True,Vote count mismatch
Kurigram 4,Md. Azizur Rahman,Bangladesh Nationalist Party (BNP),Bangladesh Nationalist Party (BNP),83762,84423,661,0.79%,False,Vote count mismatch
Kurigram 4,Md. Mostafizur Rahman,Bangladesh Jamaat-e-Islami (Jamaat),Bangladesh Jamaat-e-Islami (Jamaat),106347,108210,1863,1.75%,True,Vote count mismatch
Kushtia 3,Md. Amir Hamza,Bangladesh Jamaat-e-Islami (Jamaat),Bangladesh Jamaat-e-Islami (Jamaat),182476,180690,-1786,0.98%,False,Vote count mismatch
Kushtia 3,Md. Zakir Hossain Sarker,Bangladesh Nationalist Party (BNP),Bangladesh Nationalist Party (BNP),127559,126909,-650,0.51%,False,Vote count mismatch
Lalmonirhat 2,Md. Firoz Haider,Bangladesh Jamaat-e-Islami (Jamaat),Bangladesh Jamaat-e-Islami (Jamaat),107886,117252,9366,8.68%,True,Vote count mismatch
Lalmonirhat 2,Md. Rokon Uddin Babul,Bangladesh Nationalist Party (BNP),Bangladesh Nationalist Party (BNP),118359,123946,5587,4.72%,True,Vote count mismatch
Moulvibazar 4,Md. Mujibur Rahman Chowdhury,Bangladesh Nationalist Party (BNP),Bangladesh Nationalist Party (BNP),170877,169608,-1269,0.74%,False,Vote count mismatch
Moulvibazar 4,Sheikh Noor E Alam Hamidi,Bangladesh Khelafat Majlish (BKM),Bangladesh Khelafat Majlish (BKM),50204,49189,-1015,2.02%,True,Vote count mismatch
Mymensingh 4,Md. Abu Wahab Akand Wahid,Bangladesh Nationalist Party (BNP),Bangladesh Nationalist Party (BNP),179688,179668,-20,0.01%,False,Vote count mismatch
