district,n_households,wealth_score_mean,wealth_score_median,pct_poorest,pct_richest,pct_electricity,pct_mobile,pct_internet,pct_urban,pct_improved_water,pct_improved_sanitation,pct_ever_school,pct_secondary_plus,pct_female_ever_school,pct_female_secondary_plus,pct_women_no_education,pct_women_secondary_plus,median_marriage_age,pct_women_internet,pct_women_newspaper,pct_birth_registered,pct_stunted,pct_underweight,total_births,pct_child_mortality,avg_births_per_woman,n_children_5_17,pct_children_ever_school,pct_read_fluently,pct_can_read,pct_numeracy,pct_comprehension
Bagerhat,1000,-0.29,-0.41,32.3,6.8,80.98,96.45,30.41,12.0,78.06,98.22,84.87,57.82,84.2,59.96,6.02,69.59,16.0,100.0,9.29,29.79,26.42,20.75,1748,5.95,2.27,603,98.84,0.31,1.25,41.47,34.43
Bandarban,800,-0.74,-0.96,58.63,5.75,41.48,90.8,18.13,25.0,69.37,48.49,61.48,49.78,57.9,52.41,41.19,39.8,18.0,100.0,7.35,24.78,29.82,31.2,1766,7.36,2.99,515,88.54,0.38,0.95,34.41,30.99
Barguna,1000,-0.58,-0.65,53.0,5.3,66.11,97.1,35.03,12.0,95.03,90.16,81.73,51.46,81.15,50.67,7.21,57.21,16.0,99.78,4.48,44.75,25.79,22.91,1626,5.9,2.24,623,97.75,0.0,0.48,52.62,42.13
Barishal,1000,-0.2,-0.38,31.8,10.2,85.36,96.45,34.45,22.0,99.89,82.88,84.53,57.27,85.3,58.44,8.75,68.55,16.0,100.0,11.85,41.75,35.9,25.89,1762,7.66,2.59,595,98.82,0.77,1.84,43.03,35.99
Bhola,1000,-0.41,-0.49,40.5,7.5,71.59,95.48,30.51,14.0,100.0,55.62,75.19,46.69,76.2,48.9,16.06,54.41,16.0,100.0,5.54,15.19,37.64,30.37,1961,7.5,2.79,623,96.15,1.23,2.78,40.59,30.86
Bogura,1000,-0.1,-0.33,26.0,11.4,89.99,91.03,31.49,18.0,100.0,89.16,74.84,56.62,72.79,56.31,18.84,56.83,16.0,100.0,8.68,25.33,31.71,25.6,1683,7.25,2.2,560,97.68,0.0,0.0,50.43,42.11
Brahmanbaria,900,0.26,0.0,11.67,20.67,97.28,96.46,47.46,15.56,100.0,88.08,73.64,50.22,72.86,53.27,19.84,55.23,16.0,100.0,3.71,30.09,26.82,19.82,2423,6.64,3.16,587,94.89,1.07,4.45,44.79,28.68
Chandpur,900,0.17,-0.01,16.56,18.11,87.74,95.48,48.81,17.78,98.93,97.5,84.62,58.94,83.18,62.85,5.39,76.85,17.0,100.0,6.29,25.7,23.2,20.89,1649,3.46,2.64,574,96.69,0.0,0.68,40.41,35.62
Chattogram,2000,0.81,0.61,6.75,40.3,95.87,97.53,52.65,44.0,99.46,96.25,81.41,59.24,80.2,60.7,12.06,67.85,17.0,99.91,16.84,41.05,23.13,24.72,4251,6.8,2.65,1268,96.92,0.23,1.25,51.13,37.43
Chuadanga,1000,0.08,-0.06,9.4,9.5,97.77,93.93,17.81,26.0,99.8,93.72,73.46,55.99,73.45,57.75,16.43,58.74,16.0,100.0,6.67,35.54,21.17,21.34,1866,6.91,2.26,621,97.58,0.47,2.84,42.5,47.39
Cumilla,1200,0.44,0.15,5.33,25.83,99.13,97.05,61.93,15.0,100.0,90.29,77.56,59.12,75.69,62.51,11.78,71.47,16.0,100.0,2.13,34.07,24.69,22.07,2873,6.2,2.8,814,95.58,1.19,3.8,45.9,32.34
Cox's Bazar,900,-0.23,-0.34,35.11,11.78,69.48,97.35,30.64,22.22,99.52,52.35,71.07,49.2,68.74,51.22,25.3,48.76,17.0,100.0,10.38,37.19,34.36,29.38,2042,5.34,3.03,590,92.37,0.16,1.6,27.96,22.52
Dhaka,2500,1.61,1.52,0.56,69.0,99.75,98.01,60.89,76.8,99.41,99.53,83.97,63.28,82.67,62.86,10.82,67.26,17.0,99.88,17.96,21.09,32.99,18.13,3887,4.53,2.12,1362,96.04,0.07,0.35,47.12,38.96
Dinajpur,1000,-0.08,-0.27,16.7,9.4,92.47,93.83,28.03,14.0,100.0,86.09,77.99,59.35,74.06,59.97,14.81,63.32,16.0,100.0,4.77,38.81,24.3,18.6,1808,7.69,2.31,601,96.84,0.49,2.96,50.82,44.9
Faridpur,900,-0.05,-0.2,22.11,13.0,85.0,95.48,46.9,15.56,100.0,72.14,75.96,55.75,74.6,59.31,16.63,60.75,17.0,99.89,11.09,34.37,25.24,16.04,1776,4.95,2.56,537,97.02,0.53,1.59,42.58,37.63
Feni,900,0.61,0.36,3.44,32.33,99.55,97.08,61.35,20.0,99.89,87.87,76.9,66.27,75.52,68.59,10.16,76.7,17.0,100.0,6.8,45.0,23.91,16.03,1904,3.15,2.43,589,96.94,0.67,2.34,23.75,29.26
Gaibandha,1000,-0.39,-0.46,33.6,4.4,78.53,91.69,17.58,8.0,99.89,87.81,72.67,52.81,69.97,51.17,21.22,53.36,16.0,100.0,3.84,32.35,30.43,28.96,1745,9.17,2.56,597,96.31,0.98,5.53,39.02,35.45
Gazipur,900,0.59,0.47,3.89,26.56,98.86,97.59,45.75,31.11,100.0,94.8,83.9,58.91,83.83,58.14,8.81,64.64,16.0,100.0,7.9,43.15,25.44,16.45,1209,6.04,2.06,400,96.5,0.0,0.23,40.89,31.78
Gopalganj,900,-0.08,-0.3,20.56,9.0,98.91,97.34,12.08,11.11,99.76,98.79,77.08,61.8,74.1,62.2,13.59,66.21,18.0,100.0,4.74,46.42,24.84,17.98,1485,3.97,2.45,534,96.07,0.36,1.61,53.58,47.49
Habiganj,1000,0.02,-0.24,21.7,16.4,87.59,96.24,46.29,12.0,99.8,81.18,72.44,45.52,69.78,47.55,20.75,49.19,18.0,99.92,9.48,32.86,34.33,38.03,2524,9.07,3.04,698,92.41,1.42,3.13,41.88,29.77
Joypurhat,1000,-0.18,-0.34,19.9,5.1,97.82,89.95,23.42,14.0,100.0,83.32,74.28,61.18,72.25,60.65,15.86,63.13,16.0,99.78,5.47,33.06,28.99,24.9,1431,6.43,2.0,539,96.66,0.19,0.56,47.59,37.04
Jamalpur,900,-0.32,-0.42,34.11,6.0,82.56,92.68,24.76,17.78,99.15,81.22,68.0,56.13,65.61,53.48,20.45,52.56,16.0,100.0,7.1,53.61,33.2,28.05,1353,5.1,2.48,494,96.56,0.98,3.33,44.12,36.27
