seat_name,division,district,total_voters,total_votes,top_three_candidates,top_three,bnp_votes,bnp_ratio,jamaat_votes,jamaat_ratio,democracy_platform_votes,democracy_platform_ratio,eleven_party_alliance_votes,eleven_party_alliance_ratio,bnp_alliance_votes,bnp_alliance_ratio,bnp_vs_eleven_party_alliance_votes,bnp_vs_eleven_party_alliance_ratio,Am Janata Party,Amar Bangladesh Party (AB),Amjanatar Dol,Bangladesh Congress,Bangladesh Cultural Liberation Front (Muktijot),Bangladesh Development Party,Bangladesh Development Party (BDP),Bangladesh Islami Front,Bangladesh Islami Front (BIF),Bangladesh Jamaat-e-Islami (Jamaat),Bangladesh Jatiya Party (BJP),Bangladesh Jatiya Party (Matin),Bangladesh Jatiya Samajtantrik Dal (Bangladesh JaSad),Bangladesh Kallyan Party (BKP),Bangladesh Khelafat Andolon (BKA),Bangladesh Khelafat Majlish (BKM),Bangladesh Labour Party,Bangladesh Liberal Democratic Party (LDP),Bangladesh Minority Janata Party (BMJP),Bangladesh Minority People’s Party (BMJP),Bangladesh Muslim League (BML),Bangladesh National Awami Party (Bangladesh NAP),Bangladesh National Awami Party–Bangladesh NAP (BNAP),Bangladesh Nationalist Front (BNF),Bangladesh Nationalist Party (BNP),Bangladesh Nezam-e-Islam Party,Bangladesh Nezame Islam Party (BNIP),Bangladesh Republican Party (BRP),Bangladesh Samajtantrik Dal (Basad),Bangladesh Samo Odhikar Party (BEP),Bangladesh Sangskritik Muktijote (BSM),Bangladesh Socialist Party (BASAD),Bangladesh Socialist Party (Marxist),Bangladesh Somo Odhikar Party (BEP),Bangladesh Supreme Party (BSP),Communist Party of Bangladesh (CPB),Ganatantri Party (GP),Ganosanhati Andolan (GSA),Gono Forum (GF),Gono Front,Gono Front (GF),Gono Odhikar Parishad (GOP),Independent Candidate (Independent),Insaniyat Biplob Bangladesh,Insaniyat Biplob Bangladesh (IBB),Islami Andolan Bangladesh (IAB),Islami Oikya Jote (IOJ),Islamic Front Bangladesh (IFB),JAGPA,Jamiat Ulema-e-Islam Bangladesh,Jamiat Ulema-e-Islam Bangladesh (JUIB),Janata Party,Janotar Dol,Jatiya Ganatantrik Party (JAGPA),Jatiya Party (JaPa),Jatiya Party (Manju) (JP–Manju),Jatiya Samajtantrik Dal (JSD),Liberal Democratic Party (LDP),My Bangladesh Party (AB Party),Nagorik Oikya (NO),National Citizen Party (NCP),National People's Party (NPP),Nationalist Democratic Movement (NDM),Revolutionary Workers Party of Bangladesh (RWPB),Socialist Party of Bangladesh (Marxist) (SPB-M),Unique - Akhtar Sultana,Unique - Govinda Chandra Pramanik,Zaker Party (ZP),comments,winner_verification
Bagerhat 1,Khulna,Bagerhat,375560.0,244871,"Bangladesh Jamaat-e-Islami (Jamaat) 48.0%, Bangladesh Nationalist Party (BNP) 46.7%, Independent Candidate (Independent) 4.8%","Bangladesh Jamaat-e-Islami (Jamaat) (48.0%), Bangladesh Nationalist Party (BNP) (46.7%), Independent Candidate (Independent) (4.8%)",114323,0.46687,117527,0.479955,-,-,117818,0.481143,114323,0.46687,-,-,-,291,-,-,-,-,-,-,-,117527,-,-,-,-,-,-,-,-,-,-,409,-,-,-,114323,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11750,-,-,-,-,-,-,-,-,-,-,-,571,-,-,-,-,-,-,-,-,-,-,-,-,-,,Winner confirmed by TBS+DS+BSS+DT
Bagerhat 2,Khulna,Bagerhat,338009.0,237396,"Bangladesh Jamaat-e-Islami (Jamaat) 49.6%, Bangladesh Nationalist Party (BNP) 28.0%, Independent Candidate (Independent) 20.6%","Bangladesh Jamaat-e-Islami (Jamaat) (49.6%), Bangladesh Nationalist Party (BNP) (28.0%), Independent Candidate (Independent) (20.6%)",66409,0.279739,117709,0.495834,-,-,117709,0.495834,66409,0.279739,-,-,-,-,-,-,-,-,-,-,-,117709,-,-,-,-,-,-,-,-,-,-,-,-,-,-,66409,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,48965,-,-,4313,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,Winner confirmed by TBS+DS+BSS+DT
Bagerhat 3,Khulna,Bagerhat,266864.0,191740,"Bangladesh Nationalist Party (BNP) 54.1%, Bangladesh Jamaat-e-Islami (Jamaat) 43.7%, Islami Andolan Bangladesh (IAB) 1.9%","Bangladesh Nationalist Party (BNP) (54.1%), Bangladesh Jamaat-e-Islami (Jamaat) (43.7%), Islami Andolan Bangladesh (IAB) (1.9%)",103711,0.540894,83705,0.436555,349,0.00182,83705,0.436555,103711,0.540894,-,-,-,-,-,-,-,-,-,-,-,83705,-,-,-,-,-,-,-,-,-,-,-,-,-,-,103711,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,425,-,-,3550,-,-,-,-,-,-,-,-,-,-,349,-,-,-,-,-,-,-,-,-,-,-,"Islami Andolan Bangladesh (IAB): no consensus, used median (TBS=3,640, DT=3,460)",Winner confirmed by TBS+DS+BSS+DT
Bagerhat 4,Khulna,Bagerhat,380679.0,224900,"Bangladesh Jamaat-e-Islami (Jamaat) 51.6%, Bangladesh Nationalist Party (BNP) 43.7%, Islami Andolan Bangladesh (IAB) 3.8%","Bangladesh Jamaat-e-Islami (Jamaat) (51.6%), Bangladesh Nationalist Party (BNP) (43.7%), Islami Andolan Bangladesh (IAB) (3.8%)",98326,0.437199,116067,0.516083,630,0.002801,116067,0.516083,98326,0.437199,-,-,-,-,-,-,-,-,-,-,-,116067,-,-,315,-,-,-,-,-,-,-,-,-,-,-,98326,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,229,-,-,8501,-,-,-,-,-,-,-,-,1147,-,315,-,-,-,-,-,-,-,-,-,-,-,,Winner confirmed by TBS+DS+BSS+DT
Bandarban 1,Chattogram,Bandarban,315422,174770,"Bangladesh Nationalist Party (BNP) 80.9%, National Citizen Party (NCP) 15.0%, Islami Andolan Bangladesh (IAB) 2.7%","Bangladesh Nationalist Party (BNP) (80.9%), National Citizen Party (NCP) (15.0%), Islami Andolan Bangladesh (IAB) (2.7%)",141455,0.809378,-,-,-,-,26162,0.149694,141455,0.809378,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,141455,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4718,-,-,-,-,-,-,-,-,2435,-,-,-,-,-,26162,-,-,-,-,-,-,-,,Winner confirmed by TBS+DS+BSS+DT
Barguna 1,Barishal,Barguna,519460.0,284630,"Islami Andolan Bangladesh (IAB) 49.3%, Bangladesh Nationalist Party (BNP) 47.8%, Bangladesh Khelafat Majlish (BKM) 2.2%","Islami Andolan Bangladesh (IAB) (49.3%), Bangladesh Nationalist Party (BNP) (47.8%), Bangladesh Khelafat Majlish (BKM) (2.2%)",136145,0.478323,-,-,-,-,6232,0.021895,136145,0.478323,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6232,-,-,-,-,-,-,-,-,136145,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,140291,-,-,-,-,-,-,-,-,981,981,-,-,-,-,-,-,-,-,-,-,-,-,,Winner confirmed by TBS+DS+BSS+DT
Barguna 2,Barishal,Barguna,337744.0,194737,"Bangladesh Nationalist Party (BNP) 46.5%, Bangladesh Jamaat-e-Islami (Jamaat) 43.8%, Islami Andolan Bangladesh (IAB) 8.5%","Bangladesh Nationalist Party (BNP) (46.5%), Bangladesh Jamaat-e-Islami (Jamaat) (43.8%), Islami Andolan Bangladesh (IAB) (8.5%)",90643,0.465464,85247,0.437755,-,-,85247,0.437755,90643,0.465464,-,-,-,-,-,219,-,-,-,-,-,85247,115,115,-,-,-,-,-,-,-,-,-,-,-,-,90643,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,298,-,-,16463,-,-,-,-,-,-,-,-,1248,-,-,-,-,-,-,95,294,-,-,-,-,-,,Winner confirmed by TBS+DS+BSS+DT
Barishal 1,Barishal,Barishal,328198.0,201321,"Bangladesh Nationalist Party (BNP) 49.9%, Bangladesh Jamaat-e-Islami (Jamaat) 23.0%, Independent Candidate (Independent) 21.9%","Bangladesh Nationalist Party (BNP) (49.9%), Bangladesh Jamaat-e-Islami (Jamaat) (23.0%), Independent Candidate (Independent) (21.9%)",100552,0.499461,46263,0.229797,-,-,46263,0.229797,100552,0.499461,-,-,-,-,-,-,-,-,-,-,-,46263,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100552,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,44188,-,-,6846,-,-,-,-,-,-,-,-,1736,1736,-,-,-,-,-,-,-,-,-,-,-,-,,Winner confirmed by TBS+DS+BSS+DT
Barishal 2,Barishal,Barishal,385807.0,227437,"Bangladesh Nationalist Party (BNP) 62.3%, Bangladesh Jamaat-e-Islami (Jamaat) 32.6%, Islami Andolan Bangladesh (IAB) 2.6%","Bangladesh Nationalist Party (BNP) (62.3%), Bangladesh Jamaat-e-Islami (Jamaat) (32.6%), Islami Andolan Bangladesh (IAB) (2.6%)",141622,0.622687,74082,0.325725,135,0.000594,74082,0.325725,142322,0.625764,-,-,-,-,-,-,-,-,-,-,-,74082,-,-,135,-,-,-,-,-,-,-,-,-,-,-,141622,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,700,-,-,-,6021,-,-,-,-,-,-,-,-,2363,2329,-,-,-,-,-,185,-,-,-,-,-,-,"Jatiya Party (JaPa): no consensus, used median (TBS=1,199, DT=3,528)",Winner confirmed by TBS+DS+BSS+DT
Barishal 3,Barishal,Barishal,332097.0,235111,"Bangladesh Nationalist Party (BNP) 34.4%, Amar Bangladesh Party (AB) 26.0%, My Bangladesh Party (AB Party) 26.0%","Bangladesh Nationalist Party (BNP) (34.4%), Amar Bangladesh Party (AB) (26.0%), My Bangladesh Party (AB Party) (26.0%)",80930,0.34422,-,-,214,0.00091,122384,0.520537,81790,0.347878,-,-,-,61192,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,80930,-,-,-,214,-,-,214,-,-,-,-,-,-,-,-,-,860,-,-,-,16325,-,-,-,-,-,-,-,-,14184,-,-,-,61192,-,-,-,-,-,-,-,-,-,,Winner confirmed by TBS+DS+BSS+DT
